,bradn,mile,name,fuel,price,year,model,location
1172,폭스바겐,138739.0,더 뉴 파사트,디젤,999.0,2015,2.0 TDI,경기
1173,벤츠,66423.0,GLA-클래스 X156,디젤,2540.0,2016,GLA200 d,경기
1174,마세라티,13681.0,콰트로포르테,가솔린,11000.0,2017,GTS 3.8 V8 그란스포츠,서울
1175,애스턴마틴,15607.0,라피드,가솔린,11000.0,2015,6.0S V12,서울
1176,볼보,138776.0,XC90 2세대,디젤,4490.0,2017,D5 모멘텀,서울
1177,도요타,67128.0,캠리 (XV70),가솔린+전기,2790.0,2018,2.5 XLE 하이브리드,경기
1178,BMW,60359.0,X4 (G02),디젤,6957.0,2019,xDrive30d M 스포츠 X,광주
1179,아우디,80330.0,Q5,디젤,2700.0,2016,35 TDI 콰트로 다이나믹,경기
1180,BMW,78250.0,X5 (F15),디젤,4599.0,2016,xDrive 30d,서울
1181,벤츠,177780.0,S-클래스 W221,가솔린,999.0,2006,S350,경기
1182,재규어,18121.0,XF (X260),가솔린,5100.0,2019,3.0 S AWD,서울
1183,BMW,147070.0,5시리즈 GT (F07),가솔린,1260.0,2011,GT,경기
1184,미니,19975.0,쿠퍼 D,디젤,2320.0,2016,5도어 HIGH,경기
1185,렉서스,69664.0,LS500h 5세대,가솔린+전기,7690.0,2018,3.5 플래티넘 AWD,서울
1186,벤츠,61163.0,뉴 SL-클래스,가솔린,3690.0,2009,SL63 AMG,경기
1187,벤츠,138485.0,E-클래스 W213,디젤,3380.0,2017,E220d 아방가르드,충남
1188,벤츠,112743.0,S-클래스 W221,가솔린,1397.0,2008,S550,서울
1189,벤츠,142859.0,S-클래스 W222,가솔린,5100.0,2015,S400L 4MATIC,경기
1190,BMW,78647.0,X5 (F15),디젤,4290.0,2015,xDrive 30d,서울
1191,폭스바겐,48531.0,아테온,디젤,3720.0,2019,2.0 TDI 프레스티지,경기
1192,랜드로버,61400.0,레인지로버,가솔린,2690.0,2008,4.2 Supercharged,경기
1193,BMW,70868.0,X5 (F15),디젤,5090.0,2018,xDrive 30d,인천
1194,랜드로버,188821.0,레인지로버 스포츠,가솔린,1750.0,2010,V8 5.0 HSE,경북
1195,포드,14787.0,익스플로러 6세대,가솔린,3880.0,2020,2.3 리미티드 4WD,인천
1196,랜드로버,167900.0,레인지로버 스포츠 2세대,디젤,3490.0,2014,3.0 SDV6 HSE,서울
1197,벤츠,93000.0,E-클래스 W213,디젤,3190.0,2017,E220d 아방가르드,인천
1198,랜드로버,120663.0,레인지로버 스포츠 2세대,디젤,6190.0,2017,3.0 SDV6 AB 다이나믹,대구
1199,랜드로버,158608.0,디스커버리 5,디젤,4199.0,2017,3.0 TD6 HSE,대구
1200,캐딜락,72996.0,에스컬레이드,가솔린,2680.0,2011,6.2,경기
1201,BMW,125573.0,X6 (F16),디젤,3950.0,2015,xDrive 30d,서울
