,brand,mile,name,fuel,price,year,model,location,color
6618,랜드로버,119000,레인지로버 스포츠,디젤,1950,2011,3.0 TDV6,서울,검정색
6619,포르쉐,111235,박스터,가솔린,5320,2015,2.7,경기,검정색
6620,벤츠,54644,GLC-클래스 X253,가솔린,5390,2017,AMG GLC43 4MATIC,울산,검정색
6621,재규어,23501,F-PACE,디젤,3690,2018,20d R-Sport,경기,검정색
6622,BMW,99817,7시리즈 (G11),디젤,5800,2018,730Ld xDrive M 스포츠,서울,검정색
6623,마세라티,19383,르반떼,가솔린,7500,2017,3.0 AWD 럭셔리,경기,검정색
6624,BMW,177225,5시리즈 (F10),가솔린,1600,2013,535i,경기,검정색
6625,마세라티,19383,르반떼,가솔린,7500,2017,3.0 AWD 럭셔리,경기,검정색
6626,벤츠,45362,E-클래스 W213,디젤,3950,2017,E220d 아방가르드,경기,검정색
6627,아우디,36115,S3,가솔린,2670,2015,2.0T 콰트로,경기,검정색
6628,지프,17124,글래디에이터 (JT),가솔린,6370,2021,3.6 루비콘,경기,검정색
6629,벤츠,114000,S-클래스 W222,디젤,5490,2014,S350 d 4MATIC,서울,검정색
6630,BMW,54400,7시리즈 (G11),가솔린,11500,2018,M760Li xDrive,서울,검정색
6631,포르쉐,1703,파나메라 (971),가솔린,16000,2020,3.0 AWD,경기,검정색
6632,포르쉐,43582,파나메라 (971),가솔린,11913,2018,3.0 AWD,경기,검정색
6633,마세라티,61582,르반떼,가솔린,12300,2019,3.8 트로페오,경기,검정색
6634,벤츠,131398,E-클래스 W213,디젤,3630,2017,E220d 익스클루시브,울산,검정색
6635,벤츠,73900,CLS-클래스 W218,디젤,4190,2017,CLS250 d 4MATIC AMG Line,울산,검정색
6636,폭스바겐,87689,뉴 티구안,디젤,1630,2016,2.0 TDI 컴포트,부산,검정색
6637,BMW,39267,3시리즈 (F30),디젤,2670,2018,320d,부산,검정색
6638,폭스바겐,133781,뉴 제타,디젤,750,2014,2.0 TDI,경기,검정색
6639,벤츠,220000,S-클래스,디젤,700,1997,S320,전남,검정색
6640,벤츠,28000,S-클래스 W222,디젤,9800,2019,S350 d,전남,검정색
6641,벤츠,128000,S-클래스 W222,가솔린,5650,2015,S500L,전남,검정색
6642,렉서스,69460,LS460,가솔린,3400,2014,AWD,서울,검정색
6643,벤츠,257778,S-클래스 W222,가솔린,3990,2015,S400L,경기,검정색
6644,재규어,88501,New XF,가솔린,1350,2013,3.0SC 럭셔리,울산,검정색
6645,아우디,113886,뉴 A6,디젤,1490,2013,3.0 TDI 콰트로,울산,검정색
6646,재규어,174535,All New XJ,디젤,3050,2016,3.0D 프리미엄 럭셔리 LWB,경기,검정색
6647,폭스바겐,82482,뉴 CC,디젤,1650,2014,2.0 TDI 블루모션,울산,검정색
6648,아우디,41170,뉴 A3,가솔린,2150,2018,40 TFSI,울산,검정색
6649,벤츠,27888,E-클래스 W213,가솔린,8150,2019,E450 4MATIC 카브리올레,경기,검정색
6650,포드,106379,뉴 토러스,가솔린,560,2010,3.5 Limited,인천,검정색
6651,포르쉐,74000,뉴 카이엔,가솔린,5700,2013,4.8 GTS,서울,검정색
6652,마세라티,63700,기블리,가솔린,4670,2017,3.0S Q4,서울,검정색
6653,랜드로버,139000,레인지로버,디젤,2590,2010,3.7 TDV8 Vogue,서울,검정색
6654,스마트,160000,포투 쿠페,가솔린,590,2004,쿠페,서울,검정색
6655,아우디,310000,뉴 A8,가솔린,790,2006,6.0 W12 콰트로,서울,검정색
6656,벤츠,136691,C-클래스 W204,가솔린,2590,2012,C63 AMG 세단,경기,검정색
6657,아우디,97064,뉴 A8,디젤,4590,2015,50 TDI 콰트로 디자인 LWB,경기,검정색
6658,쉐보레,43929,익스프레스밴,가솔린,5299,2017,6.0,전북,검정색
6659,랜드로버,47334,레인지로버 벨라,디젤,7600,2019,3.0 D300 R-다이나믹 HSE,경기,검정색
6660,벤츠,141149,S-클래스 W222,가솔린,4999,2014,S500L,서울,검정색
6661,재규어,68000,XE,가솔린,2800,2017,3.0 SC S,충북,검정색
6662,BMW,194206,X6 (F16),디젤,3420,2015,xDrive 30d,경기,검정색
6663,아우디,81942,S6,가솔린,3099,2013,4.0 TFSI 콰트로,경기,검정색
6664,아우디,81942,S6,가솔린,3099,2013,4.0 TFSI 콰트로,경기,검정색
6665,BMW,157000,5시리즈 (F10),가솔린,1699,2014,528i xDrive,대구,검정색
6666,마세라티,2659,르반떼,가솔린,10400,2020,3.0 AWD 그란루쏘,서울,검정색
6667,포르쉐,104899,뉴 카이엔,디젤,4999,2015,3.0 디젤,경기,검정색
6668,벤츠,148250,S-클래스 W222,가솔린,4990,2015,S500L 4MATIC,경기,검정색
6669,BMW,238846,5시리즈 (F10),가솔린,880,2011,528i,경기,검정색
6670,렉서스,3000,ES300h 7세대,가솔린+전기,5850,2021,이그제큐티브,서울,검정색
6671,마세라티,2043,기블리,가솔린,8200,2020,3.0,서울,검정색
6672,벤츠,50697,S-클래스 W222,가솔린,6850,2014,S550L 4MATIC,대구,검정색
6673,BMW,6404,5시리즈 (G30),디젤,6250,2021,523d M 스포츠,경남,검정색
6674,벤츠,195000,S-클래스 W221,디젤,1450,2008,S320 CDI,경기,검정색
6675,벤츠,118300,S-클래스 W221,가솔린,1450,2009,S350,울산,검정색
6676,아우디,120000,A7,디젤,3350,2014,3.0 TDI 콰트로 다이나믹,부산,검정색
6677,미니,16241,쿠퍼 S 컨트리맨,가솔린,3790,2018,JCW,서울,검정색
6678,마세라티,27141,르반떼,가솔린,8500,2019,3.0 AWD 그란스포츠,서울,검정색
6679,벤츠,25608,E-클래스 W213,디젤,4620,2018,E220d 아방가르드,서울,검정색
6680,벤츠,112873,S-클래스 W222,가솔린,8530,2018,S450L 4MATIC,경기,검정색
6681,아우디,286670,뉴 A8,디젤,1750,2014,3.0 TDI 콰트로 LWB,경기,검정색
6682,포드,49568,익스플로러,가솔린,3640,2019,2.3 리미티드 4WD,경기,검정색
6683,포드,49568,익스플로러,가솔린,3640,2019,2.3 리미티드 4WD,경기,검정색
6684,아우디,240000,뉴 A6,가솔린,1100,2012,3.0 TFSI 콰트로,충북,검정색
6685,폭스바겐,248060,골프 7세대,디젤,1180,2015,2.0 GTD,경북,검정색
6686,BMW,33228,7시리즈 (G11),가솔린,7350,2017,740Li xDrive M 스포츠,경기,검정색
6687,아우디,17774,A6 (C8),가솔린,5030,2020,45 TFSI 프리미엄,경남,검정색
6688,벤츠,189324,M-클래스 W166,디젤,2350,2014,ML350 블루텍 4MATIC,경기,검정색
6689,벤츠,71774,E-클래스 W213,가솔린,5200,2019,E300 익스클루시브,경기,검정색
6690,BMW,33228,7시리즈 (G11),가솔린,7350,2017,740Li xDrive M 스포츠,경기,검정색
6691,재규어,15082,F-PACE,디젤,3900,2019,20d 프레스티지,경기,검정색
6692,링컨,69342,컨티넨탈 10세대,가솔린,3090,2017,3.0 AWD,경기,검정색
6693,링컨,69342,컨티넨탈 10세대,가솔린,3090,2017,3.0 AWD,경기,검정색
6694,닛산,33000,맥시마 (A36),가솔린,1790,2018,3.5 플래티넘,서울,검정색
6695,벤츠,85677,E-클래스 W213,디젤,4039,2018,E220d 아방가르드,경기,검정색
6696,포드,87176,F150,가솔린,5899,2017,3.5L,경기,검정색
6697,인피니티,50234,Q30,가솔린,2549,2019,2.0 스포츠 프로어시스트,경기,검정색
6698,벤츠,168324,S-클래스 W221,가솔린,1330,2008,S350L,부산,검정색
6699,포드,106573,익스플로러,가솔린,1729,2014,3.5 리미티드 4WD,경기,검정색
6700,아우디,78008,뉴 A6,디젤,3650,2016,55 TDI 콰트로 스포츠,경기,검정색
6701,아우디,144239,S8,가솔린,3620,2013,4.0 TFSI 콰트로,경기,검정색
6702,BMW,110943,5시리즈 (F10),디젤,2620,2016,520d M 에어로 다이나믹,경기,검정색
6703,BMW,64706,5시리즈 (G30),디젤,3700,2017,520d xDrive M 스포츠,경기,검정색
6704,벤츠,96311,CLS-클래스 W218,가솔린,5550,2016,CLS63 AMG S 4MATIC,경기,검정색
