,bradn,mile,name,fuel,price,year,model,location
3430,BMW,83222.0,5시리즈 (G30),디젤,3990.0,2018,520d M 스포츠 플러스,서울
3431,BMW,83222.0,5시리즈 (G30),디젤,3990.0,2018,520d M 스포츠 플러스,서울
3432,폭스바겐,92337.0,더 뉴 파사트,가솔린,950.0,2013,2.5,부산
3433,렉서스,69676.0,CT200h,가솔린+전기,2099.0,2017,1.8 슈프림,서울
3434,렉서스,69676.0,CT200h,가솔린+전기,2099.0,2017,1.8 슈프림,서울
3435,BMW,95991.0,3시리즈 GT (F34),디젤,3140.0,2018,GT 320d 럭셔리,경기
3436,벤츠,127310.0,E-클래스 W212,가솔린,2599.0,2011,E63 AMG,대구
3437,BMW,171273.0,5시리즈 (F10),디젤,1320.0,2011,520d,대구
3438,벤츠,10290.0,E-클래스 W213,디젤,6700.0,2019,E220d 카브리올레,경기
3439,아우디,129975.0,뉴 A6,디젤,2450.0,2016,40 TDI 콰트로 프리미엄,대구
3440,BMW,164460.0,5시리즈 (F10),디젤,1420.0,2013,520d,대구
3441,애스턴마틴,12100.0,라피드,가솔린,10500.0,2014,6.0S V12,서울
3442,벤츠,29740.0,E-클래스 W213,디젤,4790.0,2018,E220d 4MATIC 아방가르드,광주
3443,닛산,54162.0,알티마,가솔린,1690.0,2018,2.5 테크,대구
3444,벤츠,29740.0,E-클래스 W213,디젤,4790.0,2018,E220d 4MATIC 아방가르드,광주
3445,닛산,54162.0,알티마,가솔린,1690.0,2018,2.5 테크,대구
3446,벤츠,54614.0,GLE-클래스 W166,디젤,6000.0,2017,GLE350 d 4MATIC 쿠페,경기
3447,랜드로버,145786.0,디스커버리 4,디젤,2399.0,2012,3.0 SDV6 SE,경기
3448,포드,63962.0,머스탱,가솔린,2600.0,2017,쿠페,경기
3449,BMW,39963.0,5시리즈 (G30),가솔린,4680.0,2019,530i M 스포츠 플러스,대구
3450,벤츠,24187.0,CLS-클래스 C257,디젤,6890.0,2019,CLS300d AMG Line,경기
3451,링컨,89845.0,뉴 MKS,가솔린,1150.0,2016,3.7,서울
3452,벤츠,64008.0,E-클래스 W213,가솔린,4650.0,2017,E300 AMG Line,경기
3453,지프,75005.0,그랜드 체로키,가솔린,2890.0,2017,3.6 리미티드,부산
3454,지프,75005.0,그랜드 체로키,가솔린,2890.0,2017,3.6 리미티드,부산
3455,BMW,29000.0,5시리즈 (G30),디젤,4250.0,2018,520d 럭셔리 스페셜 에디션,경기
3456,BMW,51444.0,2시리즈 액티브 투어러 (F45),디젤,1890.0,2017,조이,경기
3457,BMW,11157.0,5시리즈 (G30),가솔린+전기,6350.0,2021,530e M 스포츠,경기
3458,BMW,9890.0,5시리즈 (G30),가솔린+전기,6350.0,2021,530e M 스포츠,경기
3459,지프,111874.0,체로키(KL),디젤,1590.0,2015,2.0 디젤 론지튜드 AWD,부산
3460,랜드로버,238993.0,레인지로버 스포츠,디젤,1090.0,2008,2.7 TDV6 HSE,부산
3461,벤츠,23.0,AMG GT,가솔린+전기,14760.0,2021,4도어 43 4MATIC+,부산
3462,지프,111874.0,체로키(KL),디젤,1590.0,2015,2.0 디젤 론지튜드 AWD,부산
3463,포드,46354.0,머스탱,가솔린,4250.0,2019,GT 쿠페,경기
3464,벤츠,131819.0,E-클래스 W212,디젤,1990.0,2014,E250 CDI 4MATIC,경남
3465,BMW,91876.0,4시리즈 (F32),디젤,2390.0,2016,420d M 스포츠 쿠페,부산
3466,벤츠,91581.0,C-클래스 W205,디젤,2500.0,2016,C220 d 아방가르드,울산
3467,지프,66374.0,체로키(KL),가솔린,2100.0,2018,2.4 론지튜드 하이 AWD,경기
3468,인피니티,220497.0,G35,가솔린,340.0,2007,세단 프리미엄,대구
3469,BMW,80569.0,5시리즈 (E60),가솔린,740.0,2008,528i 세단,대구
3470,아우디,209411.0,A7,디젤,1699.0,2013,3.0 TDI 콰트로 다이나믹,경기
3471,캐딜락,117188.0,CT6,가솔린,2899.0,2016,3.6 프리미엄 AWD,경기
3472,포르쉐,98251.0,파나메라,디젤,6799.0,2016,3.0 디젤 에디션,경기
3473,BMW,46000.0,X7 (G07),디젤,9900.0,2019,xDrive 30d 디자인 퓨어 엑셀런스 6인승,경남
3474,벤츠,126555.0,E-클래스 W212,가솔린,1040.0,2011,E200 CGI,광주
3475,도요타,9000.0,아이고,가솔린,1690.0,2017,1.0,서울
3476,랜드로버,123711.0,디스커버리 스포츠,디젤,2070.0,2016,2.0 TD4 HSE 럭셔리,경기
3477,BMW,60500.0,5시리즈 (G30),디젤,4280.0,2018,520d M 스포츠 플러스,전북
3478,BMW,10330.0,3시리즈 (G20),디젤,4650.0,2021,320d 럭셔리,전북
3479,BMW,63980.0,M6 (E63),가솔린,2890.0,2007,M6 쿠페,경기
3480,벤츠,77700.0,AMG GT,가솔린,11400.0,2015,S 4.0 에디션1,경기
3481,BMW,97856.0,5시리즈 (G30),가솔린,3899.0,2018,530i M 스포츠 플러스,경기
3482,랜드로버,54048.0,레인지로버 4세대,디젤,10990.0,2018,4.4 SDV8 Vogue SE 디젤,경기
3483,렉서스,49209.0,LS500 5세대,가솔린,8790.0,2018,3.5 플래티넘 AWD,경기
3484,벤츠,89000.0,GLC-클래스 X253,디젤,4580.0,2017,GLC250 d 4MATIC,경남
3485,볼보,107500.0,XC90 2세대,디젤,5780.0,2017,D5 인스크립션,경남
3486,렉서스,90147.0,뉴 ES300h,가솔린+전기,2850.0,2017,슈프림,경남
3487,지프,109645.0,그랜드 체로키,가솔린,2750.0,2018,3.6 리미티드,부산
3488,지프,109645.0,그랜드 체로키,가솔린,2750.0,2018,3.6 리미티드,부산
3489,벤츠,41169.0,E-클래스 W213,디젤,4370.0,2017,E220d 익스클루시브,부산
3490,벤츠,153326.0,E-클래스 W212,디젤,2090.0,2015,E220 블루텍 아방가르드 스포츠,부산
3491,벤츠,149300.0,CLS-클래스 W218,디젤,2050.0,2014,CLS250 CDI,경남
3492,BMW,63000.0,X6 (F16),디젤,5100.0,2017,xDrive 30d,경남
3493,미니,19560.0,쿠퍼 S 컨트리맨,가솔린,4350.0,2020,JCW,인천
3494,아우디,11059.0,e-트론,전기,7390.0,2020,55 콰트로,대구
