,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
177,현대,그랜저IG,2.4가솔린 익스클루시브 스페셜,2019,"54,487Km",휘발유,검정,"2,849"
178,현대,그랜저HG,디젤 HG220 모던,2016,"117,077Km",경유,검정,"1,280"
179,현대,그랜저HG,가솔린 HG300 로얄,2012,"159,577Km",휘발유,검정,600
180,현대,더뉴아반떼MD,1.6GDi 스타일 ,2015 ,"84,230Km",휘발유,검정,820
181,제네시스,G70,2.0T 엘리트,2019 ,"106,770Km",휘발유,검정,"3,030"
182,현대,제네시스DH,G330모던 ,2016,"141,878Km",휘발유,검정,"1,780"
183,현대,제네시스DH,G330모던 ,2016,"76,663Km",휘발유,검정,"2,180"
184,기아,스팅어,2.0터보 2WD 프라임,2019,"19,601Km",휘발유,검정,"2,540"
185,기아,올뉴모닝(JA),프레스티지 ,2018,"21,000Km",휘발유,검정,"1,080"
186,기아,더뉴모하비,3.0 2WD 노블레스,2017,"89,269Km",경유,검정,"2,440"
187,현대,그랜저IG,2.4가솔린 모던,2018,"61,000Km",휘발유,검정,"1,799"
188,현대,그랜저HG,LPG HG300 모던,2017,"98,000Km",LPG,검정,"1,279"
189,기아,더뉴쏘렌토,디젤2.0 2WD 노블레스,2019,"87,460Km",경유,검정,"2,490"
190,르노삼성,뉴SM5플래티넘,LPLi SE플러스,2014,"134,123Km",LPG,검정,490
191,기아,올뉴카니발,9인승 노블레스,2016,"67,005Km",경유,검정,"2,330"
192,기아,더뉴K9(1세대),3.8GDI 노블레스 ,2015,"67,056Km",휘발유,검정,"2,430"
193,르노삼성,뉴SM5(신형),LPLi LE,2012,"102,288Km",LPG,검정,550
194,쉐보레/대우,더뉴트랙스,디젤 1.6 레드라인 LT코어,2020,"18,706Km",경유,검정,"1,870"
195,쌍용,뉴체어맨W,CW700 4트로닉 프레스티지,2014,"130,374Km",휘발유,검정,"1,280"
196,기아,스포티지4세대(QL),디젤1.7 2WD 트렌디,2018,"88,308Km",경유,검정,"1,520"
197,기아,올뉴K7,2.4GDI 리미티드에디션,2017,"53,857Km",휘발유,검정,"2,440"
198,제네시스,EQ900,3.8GDI AWD 프레스티지,2017 ,"56,170Km",휘발유,검정,"4,540"
199,기아,K7프리미어,2.5가솔린 X에디션,2020,"25,998Km",휘발유,검정,"2,980"
