,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
3273,현대,그랜드스타렉스,5인승밴 CVX프리미엄,2011 ,"143,691Km",경유,회색,830
3274,쌍용,슈퍼렉스턴,4WD RX4 고급형,2010,"181,071Km",경유,회색,420
3275,제네시스,EQ900,5.0GDI AWD 프레스티지,2018 ,"124,000Km",휘발유,회색,"4,220"
3276,기아,K3,럭셔리 ,2013,"91,635Km",휘발유,회색,690
3277,기아,더뉴쏘렌토,디젤2.0 2WD 프레스티지,2018,"121,000Km",경유,회색,"1,730"
3278,르노삼성,QM3,RE ,2016,"27,559Km",경유,회색,"1,150"
3279,푸조,3008(1세대),2.0HDi 프레스티주,2013,"142,680Km",경유,회색,680
3280,시트로엥,C4칵투스,1.6BlueHDi 샤인,2017,"156,837Km",경유,회색,950
3281,BMW,5시리즈(F10),520d xDrive ,2015,"108,368Km",경유,회색,"1,980"
3282,현대,그랜저IG,3.0가솔린 익스클루시브 스페셜,2019,"98,285Km",휘발유,회색,"2,390"
3283,현대,그랜드스타렉스,12인승왜건 모던,2016,"31,994Km",경유,회색,"1,690"
3284,르노삼성,SM6,2.0 GDe SE,2017,"53,998Km",휘발유,회색,"1,340"
3285,현대,베라크루즈,디젤4WD 300VX 프리미어,2008,"175,124Km",경유,회색,830
3286,쌍용,액티언,2WD CX5 고급형,2011,"152,360Km",경유,회색,180
3287,링컨,MKX(1세대),3.5FWD ,2011 ,"88,333Km",휘발유,회색,"1,230"
3288,아우디,NEW A4,2.0TDI B8,2012,"134,417Km",경유,회색,680
3289,현대,벨로스터,유니크 ,2012 ,"137,624Km",휘발유,회색,530
3290,볼보,V60크로스컨트리(2세대),T5 AWD PRO,2020,"31,220Km",휘발유,회색,"5,050"
3291,르노삼성,QM5네오,디젤2WD LE,2014 ,"69,187Km",경유,회색,970
3292,기아,쏘렌토R,디젤2.24WD리미티드 프리미엄,2011,"140,960Km",경유,회색,880
3293,기아,올뉴쏘렌토,디젤2.0 2WD 디럭스,2015 ,"122,562Km",경유,회색,"1,480"
3294,현대,제네시스DH,G330프리미엄AWD ,2016,"67,266Km",휘발유,회색,"1,690"
3295,쌍용,뉴스타일코란도C,2.2 KX 2WD ,2017,"184,236Km",경유,회색,790
3296,쉐보레/대우,트레일블레이저,1.35터보 LT,2020,"5,627Km",휘발유,회색,"2,250"
3297,현대,에쿠스(신형),VS380 프라임,2012,"134,429Km",휘발유,회색,"1,140"
3298,지프,컴패스(1세대),2.4 리미티드,2011,"130,000Km",휘발유,회색,740
3299,인피니티,QX70,3.7AWD ,2014 ,"124,893Km",휘발유,회색,"2,150"
3300,현대,YF쏘나타,Y20 프리미어 최고급형,2011 ,"77,748Km",휘발유,회색,820
3301,BMW,5시리즈(G30),520d M스포츠플러스,2017 ,"73,217Km",경유,회색,"3,490"
3302,마쯔다,마쯔다3,2.0 ,2002,"10,859Km",휘발유,회색,"3,950"
3303,현대,그랜드스타렉스,5인승LPi밴CVX ,2014,"78,078Km",LPG,회색,"1,430"
3304,현대,YF쏘나타,Y20 프라임 블랙,2011,"165,483Km",휘발유,회색,460
3305,BMW,5시리즈(E60),528i ,9999,"209,731Km",휘발유,회색,790
3306,현대,더뉴그랜드스타렉스,밴 5인승 모던,2019,"24,200Km",경유,회색,"2,290"
3307,현대,올뉴투싼(TL),가솔린1.6T 2WD 프리미엄,2019,"32,145Km",휘발유,회색,"2,380"
3308,미니,클럽맨(1세대),쿠퍼 그린파크,2008,"187,165Km",휘발유,회색,520
3309,르노삼성,SM5뉴임프레션,LPLi LE,2009,"191,903Km",LPG,회색,240
3310,르노삼성,QM5,가솔린2WD 씨티LE25 기본형,2010,"166,652Km",휘발유,회색,440
3311,현대,싼타페더스타일,2.2VGT MLX 4WD 프리미어,2012,"190,000Km",경유,회색,770
3312,기아,포르테 하이브리드,1.6 LPI HEV 고급형,2010,"140,000Km",LPG+전기,회색,380
3313,현대,싼타페더프라임,디젤2.0 2WD 프리미엄,2016,"161,367Km",경유,회색,"1,360"
3314,기아,K5 하이브리드,500h럭셔리 ,2014,"78,227Km",휘발유+전기,회색,"1,190"
3315,기아,올뉴모닝,디럭스 ,2012 ,"59,812Km",휘발유,회색,390
3316,쉐보레/대우,올란도,디젤1.6LT 프리미엄,2017,"104,177Km",경유,회색,"1,030"
3317,기아,올뉴K7,3.0GDI 리미티드,2018,"69,322Km",휘발유,회색,"2,340"
3318,기아,올뉴카렌스,2.0 LPi 프레스티지,2016,"159,569Km",LPG,회색,999
3319,르노삼성,SM6,1.6 TCe RE,2016,"137,538Km",휘발유,회색,"1,199"
3320,제네시스,G80(1세대),3.3GDI AWD 프리미엄럭셔리,2017,"172,903Km",휘발유,회색,"2,099"
3321,푸조,508(1세대),1.6BlueHDi 알뤼르,2016,"176,407Km",경유,회색,"1,070"
3322,현대,그랜드스타렉스,12인승왜건 CVX럭셔리,2012,"178,449Km",경유,회색,620
3323,BMW,4시리즈(F32/33),420d쿠페 M스포츠,2016,"133,819Km",경유,회색,"2,150"
3324,르노삼성,뉴SM3(2세대),가솔린 1.6 SE블랙,2012,"145,906Km",휘발유,회색,"9,999"
3325,아우디,A5,2.0TDI콰트로 스포츠백,2014,"199,652Km",경유,회색,980
3326,현대,싼타페CM,2WD(2.0e-VGT)CLX 디럭스,2010,"179,686Km",경유,회색,530
3327,기아,더뉴K9(1세대),5.0GDI 퀸텀 ,2015,"104,780Km",휘발유,회색,"2,790"
3328,기아,올뉴카니발,11인승 노블레스,2017,"69,243Km",경유,회색,"1,960"
3329,쉐보레/대우,캡티바,2WD LT 프리미엄,2012,"175,505Km",경유,회색,550
3330,현대,그랜드스타렉스,12인승왜건 CVX럭셔리,2009,"183,962Km",경유,회색,430
3331,현대,그랜드스타렉스,12인승왜건 CVX럭셔리,2011 ,"206,756Km",경유,회색,490
3332,현대,투싼(JM),2.0VGT디젤2WD MX 고급형,2007,"200,247Km",경유,회색,280
3333,기아,올뉴쏘렌토,디젤2.2 4WD 노블레스 스페셜,2016,"182,429Km",경유,회색,"1,860"
3334,현대,YF쏘나타 하이브리드,2.0 HEV 스마트,2012,"170,526Km",휘발유+전기,회색,570
3335,쌍용,렉스턴스포츠,디젤2.2 4WD 노블레스,2018,"40,075Km",경유,회색,"2,370"
3336,기아,K5 2세대,1.7디젤 SX 노블레스스페셜,2016,"94,164Km",경유,회색,"1,350"
3337,현대,더뉴아반떼MD,1.6GDi 모던 기본형,2014,"79,171Km",휘발유,회색,930
3338,기아,스토닉,1.6디젤 프레스티지,2018,"34,319Km",경유,회색,"1,620"
3339,쌍용,코란도C,클러비2WD 기본형,2011,"183,711Km",경유,회색,410
3340,현대,제네시스DH,G330모던AWD ,2016,"181,700Km",휘발유,회색,"1,520"
3341,현대,제네시스DH,G330모던AWD ,2016,"181,700Km",휘발유,회색,"1,520"
3342,현대,그랜드스타렉스,3인승밴 ,2013,"178,656Km",경유,회색,790
3343,제네시스,EQ900,3.8GDI AWD 프레스티지,2018,"49,227Km",휘발유,회색,"5,390"
3344,기아,더뉴스포티지R,디젤 2WD 트렌디,2014,"99,000Km",경유,회색,"1,150"
3345,현대,LF쏘나타,2.0 프리미엄 스페셜,2015,"70,293Km",휘발유,회색,"1,499"
3346,아우디,뉴A6,3.0TFSI콰트로 C7다이나믹,2012,"65,338Km",휘발유,회색,"1,599"
3347,현대,그랜드스타렉스,12인승왜건 CVX럭셔리,2012,"213,582Km",경유,회색,540
3348,현대,올뉴투싼(TL),디젤1.7 2WD 모던,2018,"89,057Km",경유,회색,"1,650"
3349,현대,그랜드스타렉스,캠핑카 ,2009,"143,172Km",LPG,회색,"1,450"
3350,현대,그랜저HG,가솔린 HG300 로얄,2011,"124,970Km",휘발유,회색,760
3351,기아,뉴카렌스,LPI2.0 GLX 최고급형,2007,"200,203Km",LPG,회색,310
3352,현대,투싼ix(LM),디젤2WD LX20 럭셔리,2010,"179,672Km",경유,회색,669
3353,현대,그랜저HG,가솔린 HG300 노블,2011,"105,468Km",휘발유,회색,779
3354,르노삼성,SM6,2.0 GDe RE,2016,"108,768Km",휘발유,회색,"1,049"
3355,기아,더뉴K3,트렌디 스타일,2016,"47,944Km",휘발유,회색,"1,139"
3356,기아,올뉴쏘렌토,디젤2.0 2WD 노블레스,2016,"131,144Km",경유,회색,"1,799"
3357,현대,더럭셔리그랜저,가솔린 Q270 럭셔리스마트팩,2010,"137,705Km",휘발유,회색,520
3358,BMW,5시리즈(F10),520d xDrive ,2014,"154,650Km",경유,회색,"1,740"
3359,아우디,뉴A6,2.0TDI C7,2013,"171,850Km",경유,회색,"1,140"
3360,현대,싼타페CM,2WD(2.0e-VGT)MLX 럭셔리,2010,"80,111Km",경유,회색,680
3361,BMW,X1(F48),xDrive20d 조이,2018,"46,482Km",경유,회색,"3,089"
3362,제네시스,EQ900,3.8GDI AWD 프리미엄럭셔리,2018 ,"121,928Km",휘발유,회색,"3,280"
3363,제네시스,EQ900,3.3T-GDI AWD 프리미엄럭셔리,2018 ,"66,781Km",휘발유,회색,"4,520"
3364,제네시스,G80(1세대),3.3GDI 프리미엄럭셔리,2018,"93,179Km",휘발유,회색,"2,790"
3365,기아,올뉴모닝,럭셔리 스포츠,2012,"94,462Km",휘발유,회색,350
3366,현대,그랜드스타렉스,3인승밴CVX 밸류,2011,"203,844Km",경유,회색,520
3367,현대,더뉴싼타페,디젤2WD 프레스티지,2021,"28,264Km",경유,회색,"3,130"
3368,현대,올뉴투싼(TL),디젤1.7 2WD 모던,2017 ,"87,656Km",경유,회색,"1,230"
3369,BMW,5시리즈(G30),520i 럭셔리,2018,"37,431Km",휘발유,회색,"3,190"
3370,현대,i30,1.6VVT 럭셔리 ,2009,"103,000Km",휘발유,회색,370
3371,BMW,X4(F26),xDrive20d 라이트패키지,2016,"124,840Km",경유,회색,"2,899"
3372,벤츠,GLA클래스,GLA250 4MATIC ,2020,"9,664Km",휘발유,회색,"5,200"
3373,기아,더뉴쏘렌토,디젤2.0 2WD 노블레스,2018,"21,398Km",경유,회색,"2,740"
3374,현대,투싼 하이브리드,인스퍼레이션 ,2021,"16,428Km",휘발유+전기,회색,"3,700"
3375,현대,싼타페TM,디젤2.0 2WD 프리미엄,2019,"39,873Km",경유,회색,"2,690"
3376,기아,올뉴모닝,럭셔리 ,2014,"64,418Km",휘발유,회색,590
3377,아우디,뉴A6,35TDI다이나믹 ,2014,"161,705Km",경유,회색,"1,430"
3378,쉐보레/대우,더뉴스파크,프리미어 ,2019,"19,377Km",휘발유,회색,880
3379,현대,그랜저HG,LPG HG300 프라임,2012,"91,450Km",LPG,회색,"1,000"
3380,미니,미니5도어(3세대),쿠퍼S 기본형,2011,"100,763Km",휘발유,회색,"1,130"
3381,쉐보레/대우,크루즈,디젤2.0LTZ+ ,2012,"114,072Km",경유,회색,370
3382,현대,엑센트(신형),1.6GDI프리미어 ,2011,"160,000Km",휘발유,회색,480
3383,현대,그랜드스타렉스,3인승밴CVX 럭셔리,2014,"221,000Km",경유,회색,699
3384,제네시스,EQ900,3.8GDI 럭셔리,2018 ,"193,605Km",휘발유,회색,"2,590"
3385,기아,K9(1세대),3.3GDI 프레스티지 스페셜,2013,"140,000Km",휘발유,회색,"1,270"
3386,현대,그랜저IG,2.4가솔린 프리미엄,2019,"21,445Km",휘발유,회색,"2,640"
3387,현대,그랜저IG,3.0LPi 장애인용 프리미엄스페셜,2018,"53,833Km",LPG,회색,"2,450"
3388,쌍용,더뉴코란도스포츠,2.2 CX7 4WD 비전,2018,"129,835Km",경유,회색,"1,600"
3389,현대,더뉴벨로스터,1.6터보 디스펙 ,2016,"80,910Km",휘발유,회색,"1,180"
3390,현대,제네시스쿠페,380GT-P ,2011,"70,000Km",휘발유,회색,869
3391,BMW,3시리즈(E90),320i세단 ,2009,"150,000Km",휘발유,회색,399
3392,현대,아반떼MD,M16GDi 럭셔리 ,2011,"45,000Km",휘발유,회색,650
3393,현대,쏘나타DN8,가솔린 2.0 인스퍼레이션,2020,"41,778Km",휘발유,회색,"2,400"
3394,현대,아반떼MD,M16GDi 블루세이버 ,2012,"192,538Km",휘발유,회색,460
3395,아우디,뉴A6,3.0TDI콰트로 C7,2014 ,"196,027Km",경유,회색,"1,110"
3396,현대,투싼ix(LM),디젤2WD LMX20 프리미엄,2010,"111,016Km",경유,회색,790
3397,현대,그랜저IG 하이브리드,익스클루시브 ,2018,"53,950Km",휘발유+전기,회색,"2,690"
3398,기아,올뉴카니발,9인승 노블레스,2014,"246,958Km",경유,회색,"1,420"
3399,기아,올뉴카니발,9인승 노블레스,2014,"279,166Km",경유,회색,"1,300"
3400,현대,그랜드스타렉스,5인승밴 스마트,2016,"145,947Km",경유,회색,"1,390"
3401,기아,더뉴레이,밴 고급형,2018,"96,954Km",휘발유,회색,770
3402,쌍용,코란도스포츠,CX7 4WD 패션,2014,"206,036Km",경유,회색,710
3403,현대,제네시스DH,G330프리미엄AWD ,2014,"169,388Km",휘발유,회색,"1,360"
3404,현대,투싼ix(LM),디젤2WD LX20 럭셔리,2012,"170,885Km",경유,회색,690
3405,링컨,뉴MKS,3.7 ,2011 ,"112,419Km",휘발유,회색,450
3406,현대,팰리세이드,2.2디젤AWD 프레스티지,2022,"2,900Km",경유,회색,"4,580"
3407,현대,아반떼AD,1.6GDi 밸류플러스 ,2017,"99,000Km",휘발유,회색,929
3408,쌍용,렉스턴스포츠,디젤2.2 2WD 프레스티지,2019,"46,380Km",경유,회색,"1,999"
3409,기아,더뉴니로,1.6 하이브리드 프레스티지,2020,"30,243Km",휘발유+전기,회색,"2,390"
3410,푸조,308(2세대),2.0BlueHDi 펠린,2015,"60,180Km",경유,회색,"1,289"
3411,기아,모하비,2WD JV300 고급형,2008,"180,000Km",경유,회색,590
3412,현대,YF쏘나타,CVVL 프리미어 ,2011,"64,762Km",휘발유,회색,650
3413,현대,그랜드스타렉스,5인승LPi밴 스마트,2010,"255,557Km",LPG,회색,740
3414,인피니티,G(V36),G37세단 스포츠,2009,"69,911Km",휘발유,회색,750
3415,르노삼성,QM3,LE ,2017,"36,277Km",경유,회색,"1,090"
3416,쌍용,코란도스포츠,CX7 4WD 클럽,2012,"178,852Km",경유,회색,810
3417,기아,뉴모닝,LX 고급형,2011,"123,595Km",휘발유,회색,240
3418,르노삼성,뉴QM5,디젤2WD LE,2014 ,"150,857Km",경유,회색,580
3419,르노삼성,QM5,가솔린2WD 씨티LE25 기본형,2008 ,"221,537Km",휘발유,회색,430
3420,기아,K7프리미어,2.5가솔린 X에디션,2020,"6,486Km",휘발유,회색,"3,290"
3421,BMW,X4M,X4M(F98) ,2020,"19,100Km",휘발유,회색,"8,200"
3422,BMW,5시리즈 그란투리스모(F07),GT ED에디션 ,2013,"183,618Km",경유,회색,"1,490"
3423,포드,익스플로러(5세대),3.5리미티드AWD ,2013,"71,840Km",휘발유,회색,"1,730"
3424,크라이슬러,300C(2세대),3.6 ,2014,"53,043Km",휘발유,회색,"1,390"
3425,현대,올뉴투싼(TL),디젤1.7 2WD 모던,2018,"25,495Km",경유,회색,"2,050"
3426,BMW,5시리즈(G30),520d M스포츠플러스,2017,"210,599Km",경유,회색,"2,760"
3427,기아,뉴카렌스,LPI2.0 GX 고급형,2010,"101,669Km",LPG,회색,410
3428,기아,더뉴쏘렌토,디젤2.0 2WD 프레스티지,2019,"48,000Km",경유,회색,"2,550"
3429,기아,스토닉,1.6디젤 트렌디,2018,"87,000Km",경유,회색,"1,420"
3430,르노삼성,QM6,가솔린2WD RE,2018,"104,194Km",휘발유,회색,"1,630"
3431,현대,제네시스,BH330프리미엄 스페셜,2013,"107,602Km",휘발유,회색,"1,390"
3432,폭스바겐,더뉴파사트(NMS),1.8TSI ,2016,"36,189Km",휘발유,회색,"1,700"
3433,벤츠,C클래스(W205),C200d ,2016,"26,424Km",경유,회색,"2,790"
3434,재규어,XF(2세대),25t 포트폴리오,2016 ,"102,570Km",휘발유,회색,"2,050"
3435,쉐보레/대우,올뉴캡티바,2WD LTZ ,2016,"148,839Km",경유,회색,"1,090"
3436,쌍용,코란도스포츠,CX7 4WD 비전,2013 ,"131,878Km",경유,회색,"1,150"
3437,기아,더뉴스포티지R,디젤 2WD 프레스티지,2014,"165,695Km",경유,회색,970
3438,현대,그랜드스타렉스,5인승밴 CVX디럭스,2014,"180,000Km",경유,회색,840
3439,기아,올뉴카렌스,2.0 LPi 프레스티지,2016,"180,000Km",LPG,회색,690
3440,기아,스포티지R,가솔린2WD TLX 최고급형,2011,"89,015Km",휘발유,회색,880
3441,현대,그랜저IG,3.0가솔린 익스클루시브,2019,"31,127Km",휘발유,회색,"2,420"
3442,쉐보레/대우,더넥스트스파크,LTZ ,2017,"22,605Km",휘발유,회색,790
3443,현대,제네시스,BH380로얄 기본형,2009,"237,300Km",휘발유,회색,410
3444,르노삼성,QM5,디젤2WD RE 기본형,2011,"218,517Km",경유,회색,380
3445,쌍용,코란도스포츠,어드벤처 60th에디션 4WD ,2015,"214,418Km",경유,회색,980
3446,현대,아반떼CN7,1.6가솔린 모던,2021,"3,732Km",휘발유,회색,"1,950"
3447,현대,올뉴투싼(TL),디젤1.7 2WD 모던,2018,"42,664Km",경유,회색,"1,940"
3448,현대,더뉴아반떼AD,G1.6 스마트 ,2019,"9,450Km",휘발유,회색,"1,690"
3449,기아,올뉴모닝,디럭스 ,2012,"82,897Km",휘발유,회색,380
3450,현대,그랜저IG,3.0가솔린 익스클루시브 스페셜,2019,"11,048Km",휘발유,회색,"2,990"
3451,기아,쏘렌토R,디젤2.0 2WD TLX 최고급형,2010,"207,624Km",경유,회색,730
3452,미니,미니3도어(2세대),쿠퍼 기본형,2007,"124,604Km",휘발유,회색,580
3453,현대,아반떼AD,1.6디젤 스마트 기본형,2016,"115,766Km",경유,회색,990
3454,현대,아반떼MD,LPI M16 모던 ,2012,"93,571Km",LPG,회색,790
3455,현대,그랜저뉴럭셔리,가솔린 Q270 럭셔리기본형,2010,"74,051Km",휘발유,회색,499
3456,크라이슬러,300C(2세대),3.0 디젤 ,2012,"196,524Km",경유,회색,760
3457,미니,미니3도어(2세대),쿠퍼S 기본형,2011,"141,212Km",휘발유,회색,790
3458,르노삼성,QM5,디젤4WD RE 기본형,2008 ,"101,256Km",경유,회색,399
3459,현대,그랜드스타렉스,5인승밴 CVX디럭스,2012,"203,114Km",경유,회색,630
3460,현대,투싼(JM),2.0VGT디젤2WD MX 고급형,2006,"247,289Km",경유,회색,260
3461,벤츠,E클래스(W213),E300 4MATIC익스클루시브 기본형,2018,"42,071Km",휘발유,회색,"3,800"
3462,BMW,5시리즈(F10),520d xDrive 럭셔리,2020,"36,979Km",경유,회색,"3,830"
3463,아우디,뉴A6,40TDI 콰트로 프리미엄,2016,"130,851Km",경유,회색,"1,849"
3464,인피니티,G(V36),G37세단 프리미엄,2010,"82,591Km",휘발유,회색,539
3465,크라이슬러,300C(2세대),3.6 Base,2011,"98,078Km",휘발유,회색,749
3466,기아,쏘울,디젤1.6 4U 코스모,2009,"137,713Km",경유,회색,480
3467,현대,그랜드스타렉스,5인승밴 CVX디럭스,2012,"203,114Km",경유,회색,630
3468,기아,니로,1.6 하이브리드 럭셔리,2020,"20,257Km",휘발유+전기,회색,"2,230"
3469,르노삼성,SM6,2.0 GDe RE,2019 ,"14,665Km",휘발유,회색,"2,030"
3470,기아,올뉴모닝,디럭스 ,2012 ,"140,407Km",휘발유,회색,330
3471,쉐보레/대우,더뉴트랙스,1.4 LT 디럭스,2017,"34,194Km",휘발유,회색,"1,190"
3472,기아,더뉴쏘렌토,디젤2.0 2WD 노블레스,2019,"43,676Km",경유,회색,"2,730"
3473,기아,올뉴모닝(JA),럭셔리 ,2020,"4,120Km",휘발유,회색,"1,190"
3474,현대,아반떼MD,M16GDi 럭셔리 ,2012,"52,085Km",휘발유,회색,620
3475,기아,K5 3세대,2.0가솔린 시그니처,2020,"15,191Km",휘발유,회색,"2,690"
3476,기아,올뉴카니발,9인승 프레스티지,2018,"83,365Km",경유,회색,"2,050"
3477,닛산,알티마,2.5세단 SL,2016 ,"24,136Km",휘발유,회색,"1,280"
3478,쌍용,렉스턴스포츠,디젤2.2 2WD 프레스티지,2019,"62,402Km",경유,회색,"2,140"
3479,BMW,1시리즈(F20),118d5도어 스포츠,2015,"176,457Km",경유,회색,890
3480,쌍용,티볼리에어,디젤 2WD AX,2018,"90,257Km",경유,회색,"1,130"
3481,현대,그랜저IG 하이브리드,프리미엄 ,2017,"163,394Km",휘발유+전기,회색,"1,590"
3482,현대,제네시스쿠페,200터보D ,2010,"84,505Km",휘발유,회색,449
3483,쉐보레/대우,올뉴말리부,가솔린2.0터보LTZ 프리미엄,2018,"52,861Km",휘발유,회색,"1,350"
3484,기아,모하비,4WD QV300 최고급형,2008 ,"174,902Km",경유,회색,960
3485,현대,그랜저IG 하이브리드,프리미엄 ,2019,"89,884Km",휘발유+전기,회색,"2,420"
3486,현대,그랜저IG 하이브리드,프리미엄 ,2018,"206,056Km",휘발유+전기,회색,"1,489"
3487,현대,그랜드스타렉스,5인승밴 CVX럭셔리,2015,"168,050Km",경유,회색,870
3488,지프,그랜드체로키(3세대),3.0디젤 ,2012,"180,014Km",경유,회색,"1,080"
3489,기아,올뉴카니발,9인승 노블레스,2016,"49,841Km",경유,회색,"2,290"
3490,BMW,6시리즈 그란쿠페(F06),640d xDrive ,2014,"120,509Km",경유,회색,"2,450"
3491,현대,싼타페TM,디젤2.2 AWD 프레스티지,2019,"52,876Km",경유,회색,"3,050"
3492,기아,올뉴모닝,럭셔리 ,2013,"152,257Km",휘발유,회색,460
3493,벤츠,GLA클래스,GLA200 CDI 4matic,2015,"161,836Km",경유,회색,"1,490"
3494,현대,트라제XG,9인승디젤2.0골드 기본형,2007,"158,409Km",경유,회색,330
3495,기아,그랜드카니발, ,2010,"229,977Km",LPG,회색,430
3496,혼다,레전드(4세대),3.5 ,2007 ,"226,238Km",휘발유,회색,370
3497,현대,트라제XG,9인승디젤2.0GLS 기본형,2003,"168,588Km",경유,회색,140
3498,현대,그랜드스타렉스,11인승왜건HVX VIP팩,2011,"192,077Km",경유,회색,660
3499,기아,더뉴쏘렌토,디젤2.0 2WD 프레스티지,2018,"99,087Km",경유,회색,"2,140"
3500,기아,올뉴카니발,9인승 프레스티지,2015,"234,321Km",경유,회색,"1,290"
3501,현대,그랜드스타렉스,3인승밴CVX 디럭스,2008,"152,315Km",경유,회색,590
3502,현대,아반떼MD,M16GDi 럭셔리 ,2011,"156,495Km",휘발유,회색,450
3503,기아,올뉴카니발,9인승 프레스티지,2015,"160,000Km",경유,회색,"1,540"
3504,아우디,NEW A4,2.0TFSI콰트로 다이나믹,2011,"162,874Km",휘발유,회색,550
3505,제네시스,G80(1세대),3.3GDI AWD 럭셔리,2016,"159,764Km",휘발유,회색,"2,230"
3506,르노삼성,QM6,디젤2WD RE시그니처,2017,"121,674Km",경유,회색,"1,610"
3507,르노삼성,올뉴SM7,가솔린3.5 RE35,2012,"100,123Km",휘발유,회색,720
3508,기아,올뉴K7,2.4GDI 리미티드에디션,2018,"52,205Km",휘발유,회색,"1,690"
3509,제네시스,EQ900,3.8GDI AWD 프리미엄럭셔리,2017 ,"150,550Km",휘발유,회색,"3,190"
3510,르노삼성,SM7뉴아트,가솔린2.3 프레스티지,2008,"161,520Km",휘발유,회색,310
3511,다이하츠,마테리아,1.5 ,2008,"108,749Km",휘발유,회색,590
3512,현대,그랜저IG,3.0가솔린 익스클루시브 스페셜,2019,"36,745Km",휘발유,회색,"3,170"
3513,현대,아반떼AD,1.6GDi 스마트 기본형,2017,"34,000Km",휘발유,회색,"1,220"
3514,르노삼성,SM6,1.6 TCe RE,2016,"55,478Km",휘발유,회색,"1,490"
3515,푸조,3008(2세대),1.5BlueHDi GTLine,2019,"24,552Km",경유,회색,"2,920"
3516,폭스바겐,제타(6세대),1.6TDI블루모션 ,2014,"140,591Km",경유,회색,630
3517,현대,YF쏘나타,LPI 럭셔리 ,2012,"223,002Km",LPG,회색,410
3518,랜드로버,디스커버리5,SD4 SE,2018,"84,419Km",경유,회색,"4,390"
3519,현대,쏘나타 더브릴리언트,LPI 스타일 ,2013,"174,692Km",LPG,회색,420
3520,아우디,뉴A6,45TDI콰트로 C7,2015,"170,972Km",경유,회색,"1,699"
3521,현대,제네시스DH,G330모던 ,2016,"83,453Km",휘발유,회색,"2,120"
3522,기아,더뉴K5,LPI디럭스 ,2015,"94,290Km",LPG,회색,799
3523,기아,더뉴K7,2.4GDI 프레스티지스페셜,2013,"172,897Km",휘발유,회색,799
3524,인피니티,G(V35),G35세단 프리미엄,2008,"43,903Km",휘발유,회색,490
3525,인피니티,G(V36),G37세단 프리미엄,2010,"104,221Km",휘발유,회색,540
3526,아우디,A5,2.0TFSI콰트로 ,2013 ,"133,651Km",휘발유,회색,"1,260"
3527,기아,더뉴K5 2세대,2.0가솔린 인텔리전트,2019,"60,000Km",휘발유,회색,"1,830"
3528,벤츠,뉴E클래스,E300엘레강스 ,2011,"96,677Km",휘발유,회색,"1,050"
3529,현대,아반떼MD,M16GDi 럭셔리 ,2011,"160,000Km",휘발유,회색,460
3530,르노삼성,QM5네오,디젤2WD RE,2015,"66,812Km",경유,회색,"1,100"
3531,르노삼성,SM6,2.0 GDe LE,2016,"77,180Km",휘발유,회색,"1,230"
3532,르노삼성,QM3,SE ,2017,"91,334Km",경유,회색,860
3533,지프,레니게이드,2.4가솔린 론지튜드,2017,"70,054Km",휘발유,회색,"1,649"
3534,제네시스,EQ900,3.8GDI AWD 프리미엄럭셔리,2018,"36,000Km",휘발유,회색,"4,590"
3535,기아,K5,2.0디럭스 ,2011,"42,270Km",휘발유,회색,640
3536,BMW,5시리즈(F10),530d xDrive M스포츠패키지,2014,"152,176Km",경유,회색,"2,050"
3537,쌍용,티볼리,가솔린 2WD LX최고급형,2016,"65,880Km",휘발유,회색,990
3538,기아,더뉴쏘렌토,디젤2.2 2WD 마스터 스페셜,2020,"24,836Km",경유,회색,"2,950"
3539,현대,제네시스쿠페,200터보D ,2010,"127,018Km",휘발유,회색,430
3540,현대,i30CW,1.6VVT 럭셔리 ,2010,"163,785Km",휘발유,회색,270
3541,기아,쏘렌토R,디젤2.0 2WD TLX 고급형,2011,"79,000Km",경유,회색,830
3542,미니,미니3도어(2세대),쿠퍼SD 기본형,2012,"220,000Km",경유,회색,660
3543,현대,그랜드스타렉스,5인승밴 스마트,2016,"206,300Km",경유,회색,990
3544,쌍용,코란도스포츠,어드벤처 60th에디션 4WD ,2015,"246,881Km",경유,회색,820
3545,기아,뉴쏘렌토R,디젤2.0 4WD 트렌디,2014,"147,717Km",경유,회색,"1,190"
3546,기아,더뉴카니발,9인승 럭셔리,2019,"31,301Km",경유,회색,"2,360"
3547,기아,K5,2.0프레스티지 ,2013,"208,648Km",휘발유,회색,550
3548,현대,더럭셔리그랜저,가솔린 Q270 디럭스,2010,"77,098Km",휘발유,회색,520
3549,쉐보레/대우,라세티프리미어,1.6SX 일반형,2009,"125,713Km",휘발유,회색,290
3550,현대,그랜저IG 하이브리드,익스클루시브 ,2018,"82,076Km",휘발유+전기,회색,"2,630"
3551,기아,니로,1.6 하이브리드 프레스티지,2017,"29,556Km",휘발유+전기,회색,"1,900"
3552,현대,그랜드스타렉스, ,2011,"201,841Km",경유,회색,890
3553,렉서스,ES,350 프리미엄,2011,"178,000Km",휘발유,회색,620
3554,르노삼성,SM7뉴아트,가솔린2.3 프레스티지,2009,"160,054Km",휘발유,회색,290
3555,기아,더뉴레이,밴 고급형,2018 ,"121,140Km",휘발유,회색,720
3556,현대,더뉴싼타페,디젤2WD 프리미엄,2021,"20,396Km",경유,회색,"2,990"
3557,현대,투싼ix(LM),디젤2WD LX20 월드컵스페셜에디션,2011,"126,610Km",경유,회색,720
