,brand,name,info,type,km,year,accident,color,location,price,wd
6760,아우디,뉴 A3,25 TDI 다이나믹,디젤,100314,2015,무사고,흰색,부산,35,2WD
6770,아우디,뉴 A3,25 TDI 다이나믹,디젤,100314,2015,무사고,흰색,부산,1320,2WD
6774,아우디,뉴 A3,25 TDI,디젤,119023,2015,무사고,흰색,부산,1700,2WD
6782,아우디,A6,35 TDI,디젤,66169,2016,무사고,흰색,경기,2399,2WD
6791,아우디,Q7,35 TDI 콰트로,디젤,141481,2015,무사고,흰색,경기,2490,4WD
6795,아우디,A6,2.0 TDI,디젤,191910,2013,무사고,흰색,경기,1130,2WD
6797,아우디,R8,5.2 V10 스파이더,가솔린,80663,2012,무사고,흰색,경기,8590,2WD
6808,아우디,Q5,3.0 TDI 콰트로,디젤,150884,2011,무사고,흰색,광주,1530,4WD
6824,아우디,A6,35 TDI 콰트로 프리미엄,디젤,96500,2016,무사고,흰색,경기,2650,4WD
6825,아우디,A4,2.0 TDI 콰트로,디젤,133797,2014,무사고,흰색,경기,1150,4WD
6826,아우디,Q3,35 TDI 프리미엄,디젤,14571,2020,무사고,흰색,경기,4140,2WD
6827,아우디,A4,2.0 TDI,디젤,51860,2012,무사고,흰색,경기,1330,2WD
6832,아우디,A7,3.0 TDI 콰트로 엔트리,디젤,102962,2014,무사고,흰색,경기,2750,4WD
6842,아우디,A6,35 TDI 다이나믹,디젤,122462,2015,무사고,흰색,경기,1720,2WD
6851,아우디,A7,3.0 TDI 콰트로 엔트리,디젤,146593,2014,무사고,흰색,광주,2340,4WD
6860,아우디,A5,2.0 TFSI 콰트로,가솔린,106674,2013,무사고,흰색,경기,1440,4WD
6861,아우디,Q3,35 TDI 콰트로 스포트라인,디젤,44987,2015,무사고,흰색,경기,2540,4WD
6865,아우디,뉴 A3,40 TFSI,가솔린,38772,2018,무사고,흰색,충북,2480,2WD
6871,아우디,A6,40 TDI 콰트로 프리미엄,디젤,135930,2016,무사고,흰색,서울,2270,4WD
6876,아우디,A6,45 TDI 콰트로,디젤,88457,2015,무사고,흰색,경기,9999,4WD
6884,아우디,A6,2.0 TFSI,가솔린,75777,2011,무사고,흰색,서울,870,2WD
6911,아우디,A6,45 TDI 콰트로,디젤,21662,2015,무사고,흰색,경기,2710,4WD
6914,아우디,A6,3.0 TDI 콰트로,디젤,110986,2014,무사고,흰색,광주,1840,4WD
6922,아우디,A6,3.0 TDI 콰트로,디젤,128210,2014,무사고,흰색,경기,1580,4WD
6929,아우디,R8,4.2 V8 쿠페,가솔린,95044,2008,무사고,흰색,경기,5500,2WD
6933,아우디,A6,35 TDI 다이나믹,디젤,63866,2015,무사고,흰색,경기,2250,2WD
6934,아우디,A5,2.0 TDI 콰트로 다이나믹 스포츠백,디젤,164465,2014,무사고,흰색,충남,1300,4WD
6947,아우디,A4,2.0 TFSI 콰트로 다이나믹,가솔린,136766,2009,무사고,흰색,충남,579,4WD
6951,아우디,Q5,2.0 TDI 콰트로 다이나믹,디젤,180383,2012,무사고,흰색,경기,1149,4WD
6974,아우디,A5,2.0 TDI 콰트로 다이나믹 스포츠백,디젤,167086,2014,무사고,흰색,인천,1290,4WD
6976,아우디,A7,3.0 TDI 콰트로 다이나믹,디젤,96787,2012,무사고,흰색,대구,2250,4WD
6977,아우디,A7,45 TDI 콰트로 다이나믹,디젤,228119,2015,무사고,흰색,경기,1899,4WD
6989,아우디,A5,2.0 TFSI 콰트로,가솔린,80217,2009,무사고,흰색,경기,950,4WD
6990,아우디,A5,35 TDI 콰트로 스포츠백,디젤,86517,2016,무사고,흰색,경기,2290,4WD
6997,아우디,A6,40 TFSI 콰트로 다이나믹,가솔린,108443,2015,무사고,흰색,경기,2190,4WD
7005,아우디,A4,30 TDI 리미티드 에디션,디젤,97755,2016,무사고,흰색,경기,1700,2WD
7007,아우디,A6,35 TDI,디젤,127245,2016,무사고,흰색,경기,1880,2WD
7018,아우디,A7,3.0 TDI 콰트로 다이나믹,디젤,134374,2014,무사고,흰색,경기,2200,4WD
7031,아우디,S5,4.2 FSI 콰트로,가솔린,79055,2015,무사고,흰색,서울,3890,4WD
7032,아우디,A6,2.0 TDI 다이나믹,디젤,158170,2014,무사고,흰색,경기,1390,2WD
7041,아우디,A6,40 TDI 콰트로 프리미엄,디젤,81888,2016,무사고,흰색,대구,2780,4WD
7043,아우디,A4,45 TFSI 콰트로 프리미엄,가솔린,45368,2016,무사고,흰색,경기,2670,4WD
7060,아우디,A6,3.0 TDI 콰트로,디젤,56043,2013,무사고,흰색,경기,2250,4WD
7074,아우디,A6,35 TDI,디젤,105566,2015,무사고,흰색,충남,2100,2WD
7099,아우디,A6,3.0 TDI 콰트로,디젤,97441,2013,무사고,기타,경기,1600,4WD
7120,아우디,A6,40 TDI 콰트로,디젤,75665,2016,무사고,기타,경기,2850,4WD
7155,아우디,A7,3.0 TFSI 콰트로 프레스티지,가솔린,79477,2012,무사고,기타,대구,2680,4WD
7161,아우디,S5,4.2 FSI 콰트로,가솔린,97032,2013,무사고,기타,충남,3250,4WD
7167,아우디,A7,50 TDI 콰트로 프리미엄,디젤,191484,2016,무사고,기타,인천,2590,4WD
7174,아우디,A6,35 TDI 프리미엄,디젤,80780,2018,무사고,기타,경기,2990,2WD
7197,아우디,S7,4.0 TFSI 콰트로,가솔린,105375,2014,무사고,기타,경기,3650,4WD
7210,아우디,A4,2.0 TDI,디젤,100468,2013,무사고,기타,경기,1099,2WD
7211,아우디,R8 (4S),5.2 V10 플러스 쿠페,가솔린,78803,2017,무사고,기타,서울,13990,2WD
7217,아우디,A6,3.0 TDI 콰트로 다이나믹,디젤,236816,2012,무사고,기타,인천,1080,4WD
7218,아우디,A6,35 TDI 프리미엄,디젤,110930,2016,무사고,기타,서울,2190,2WD
7235,아우디,A5,35 TDI 콰트로 스포츠백,디젤,73582,2015,무사고,기타,서울,1990,4WD
7237,아우디,A6,3.0 TFSI 콰트로,가솔린,77284,2012,무사고,기타,경기,8888,4WD
7255,아우디,TT,쿠페 2.0 TFSI,가솔린,149366,2008,무사고,기타,경기,1070,2WD
7271,아우디,A6,35 TDI 프리미엄,디젤,54597,2018,무사고,기타,서울,3380,2WD
7285,아우디,Q7,45 TDI 콰트로,디젤+전기,9103,2020,무사고,기타,경기,7400,4WD
7286,아우디,Q5,3.0 TDI 콰트로,디젤,130660,2016,무사고,기타,광주,3099,4WD
7304,아우디,A6,40 TDI 콰트로 프리미엄,디젤,10793,2020,무사고,기타,서울,5390,4WD
7342,아우디,A7,3.0 TFSI 콰트로 다이나믹,가솔린,69726,2013,무사고,기타,서울,2620,4WD
7348,아우디,Q5,3.0 TDI 콰트로,디젤,84974,2016,무사고,기타,부산,3530,4WD
7366,아우디,A6,35 TDI 프리미엄,디젤,40245,2018,무사고,기타,경기,3400,2WD
7378,아우디,S7,4.0 TFSI 콰트로,가솔린,160560,2014,무사고,기타,인천,3190,4WD
7379,아우디,A6,35 TDI,디젤,54151,2016,무사고,기타,경기,2499,2WD
7395,아우디,A6,45 TDI 콰트로,디젤,130495,2015,무사고,기타,경기,1730,4WD
7396,아우디,A6,35 TDI 콰트로,디젤,57700,2018,무사고,기타,대구,2990,4WD
7409,아우디,A6,2.0 TFSI 다이나믹,가솔린,87815,2012,무사고,기타,경기,1790,2WD
7412,아우디,A5,45 TFSI 콰트로 프리미엄 스포트백,가솔린,35627,2019,무사고,기타,경기,3690,4WD
7416,아우디,A7,3.0 TFSI 콰트로 다이나믹,가솔린,80317,2014,무사고,기타,경기,2580,4WD
7423,아우디,TT,로드스터 45 TFSI 콰트로,가솔린,43021,2016,무사고,기타,서울,4190,4WD
7431,아우디,Q5,45 TFSI 콰트로 프리미엄,가솔린,7753,2020,무사고,기타,광주,5490,4WD
7437,아우디,A6,2.0 TFSI 다이나믹,가솔린,92853,2012,무사고,기타,경기,1450,2WD
7454,아우디,A6,40 TDI 콰트로 프리미엄,디젤,82226,2016,무사고,기타,광주,2760,4WD
7475,아우디,A8,4.0 TFSI 콰트로 LWB,가솔린,135671,2013,무사고,기타,경기,3180,4WD
7477,아우디,A6,35 TDI 프리미엄,디젤,54819,2018,무사고,기타,경기,3150,2WD
7489,아우디,A4,2.0 TFSI 콰트로,가솔린,105724,2009,무사고,기타,서울,720,4WD
7492,아우디,A6,35 TDI,디젤,101857,2015,무사고,기타,경기,1790,2WD
7506,아우디,A4,45 TFSI 프리미엄,가솔린,37613,2016,무사고,기타,서울,2990,2WD
7508,아우디,A6,35 TDI 프리미엄,디젤,72797,2018,무사고,기타,부산,3180,2WD
7532,아우디,A6,3.0 TFSI 콰트로,가솔린,171036,2013,무사고,기타,경기,1050,4WD
7545,아우디,A6,45 TDI 콰트로,디젤,82815,2015,무사고,기타,충남,1999,4WD
7551,아우디,A7,50 TDI 콰트로,디젤,149564,2016,무사고,기타,경기,3150,4WD
7552,아우디,A7,50 TDI 콰트로 프리미엄,디젤+전기,3624,2020,무사고,기타,경기,7490,4WD
7564,아우디,Q3,35 TDI 프리미엄,디젤,3039,2020,무사고,기타,부산,3990,2WD
7575,아우디,S7,4.0 TFSI 콰트로,가솔린,147847,2013,무사고,기타,인천,3190,4WD
7578,아우디,A7,50 TDI 콰트로,디젤,109688,2016,무사고,기타,경기,3390,4WD
7610,아우디,A6,35 TDI,디젤,95929,2015,무사고,기타,경기,1979,2WD
7619,아우디,A7,55 TDI 콰트로,디젤,141678,2016,무사고,기타,경기,3930,4WD
7627,아우디,A7,50 TFSI 콰트로 다이나믹,가솔린,65173,2015,무사고,기타,서울,3870,4WD
7636,아우디,A6,3.0 TDI 콰트로,디젤,162743,2014,무사고,기타,경기,1490,4WD
7643,아우디,S7,4.0 TFSI 콰트로,가솔린,137838,2014,무사고,기타,충남,3790,4WD
7645,아우디,S4,4.2 콰트로,가솔린,102200,2007,무사고,기타,충남,2800,4WD
7651,아우디,Q5,3.0 TDI 콰트로,디젤,181315,2013,무사고,기타,대전,2190,4WD
7691,아우디,A7,3.0 TFSI 콰트로 프레스티지,가솔린,127096,2012,무사고,기타,경기,1970,4WD
7692,아우디,S7,4.0 TFSI 콰트로,가솔린,54126,2015,무사고,기타,경기,5870,4WD
7697,아우디,A6,2.0 TDI,디젤,91379,2013,무사고,기타,대구,1670,2WD
7707,아우디,A4,30 TDI,디젤,148836,2015,무사고,기타,경기,2000,2WD
7716,아우디,Q5,3.0 TDI 콰트로,디젤,70647,2014,무사고,기타,경기,3199,4WD
7726,아우디,A6,40 TDI 콰트로 프리미엄,디젤,78784,2016,무사고,기타,부산,2480,4WD
7728,아우디,A7,3.0 TDI 콰트로 다이나믹,디젤,155043,2012,무사고,기타,대구,1870,4WD
