brand,name,type,km,year,accident,color,location,price,wd,trim
기아,K5,하이브리드,151340,2014,무사고,흰색,대전,920,2WD,2
기아,K5,가솔린,116682,2017,무사고,흰색,서울,1530,2WD,1
기아,K5,가솔린,21371,2019,무사고,흰색,대전,1920,2WD,1
기아,K5,하이브리드,26992,2020,무사고,흰색,경기,3400,2WD,4
기아,K5,가솔린,5121,2020,무사고,흰색,경기,2290,2WD,1
기아,K5,하이브리드,144815,2012,무사고,흰색,경기,790,2WD,2
기아,K5,가솔린,21073,2019,무사고,흰색,서울,2350,2WD,1
기아,K5,LPG,173644,2016,무사고,흰색,광주,880,2WD,1
기아,K5,가솔린,5791,2021,무사고,흰색,부산,2800,2WD,1
기아,K5,가솔린,84099,2018,무사고,흰색,경기,1410,2WD,1
기아,K5,가솔린,98104,2012,무사고,흰색,광주,950,2WD,2
기아,K5,가솔린,96899,2015,무사고,흰색,경기,1230,2WD,1
기아,K5,LPG,59335,2013,무사고,흰색,부산,890,2WD,1
기아,K5,LPG,99673,2019,무사고,흰색,부산,1390,2WD,1
기아,K5,가솔린,72328,2016,무사고,흰색,부산,1450,2WD,1
기아,K5,가솔린,106901,2018,무사고,흰색,경기,1310,2WD,1
기아,K5,가솔린,6519,2021,무사고,흰색,부산,3300,2WD,1
기아,K5,가솔린,63699,2016,무사고,흰색,광주,1590,2WD,1
기아,K5,가솔린,72494,2018,무사고,흰색,서울,1630,2WD,1
기아,K5,LPG,152445,2015,무사고,흰색,부산,720,2WD,1
기아,K5,가솔린,125561,2014,무사고,흰색,충남,977,2WD,1
기아,K5,LPG,143553,2011,무사고,흰색,인천,520,2WD,1
기아,K5,가솔린,95364,2017,무사고,흰색,경기,1479,2WD,1
기아,K5,가솔린,140152,2013,무사고,흰색,대구,799,2WD,2
기아,K5,LPG,140588,2014,무사고,흰색,인천,890,2WD,2
기아,K5,LPG,52652,2019,무사고,흰색,경기,1790,2WD,1
기아,K5,LPG,68373,2018,무사고,흰색,경기,1370,2WD,1
기아,K5,가솔린,100468,2018,무사고,흰색,광주,1599,2WD,1
기아,K5,LPG,34522,2021,무사고,흰색,대구,2470,2WD,1
기아,K5,가솔린,49536,2016,무사고,흰색,경기,1600,2WD,1
기아,K5,LPG,42331,2020,무사고,흰색,경기,1770,2WD,1
기아,K5,가솔린,16569,2020,무사고,흰색,서울,3190,2WD,1
기아,K5,가솔린,102698,2013,무사고,흰색,대구,930,2WD,3
기아,K5,가솔린,1093,2021,무사고,흰색,경기,2990,2WD,1
기아,K5,가솔린,164270,2013,무사고,흰색,부산,750,2WD,3
기아,K5,하이브리드,79886,2015,무사고,흰색,서울,1290,2WD,1
기아,K5,가솔린,11690,2020,무사고,흰색,경기,3250,2WD,1
기아,K5,가솔린,15859,2020,무사고,흰색,서울,2599,2WD,1
기아,K5,가솔린,74975,2016,무사고,흰색,인천,1530,2WD,1
기아,K5,가솔린,38535,2020,무사고,흰색,인천,2940,2WD,1
기아,K5,LPG,76275,2017,무사고,흰색,대전,1419,2WD,1
기아,K5,가솔린,50121,2015,무사고,흰색,충남,1120,2WD,1
기아,K5,가솔린,167815,2012,무사고,흰색,충남,689,2WD,3
기아,K5,가솔린,97876,2017,무사고,흰색,경기,1470,2WD,1
기아,K5,LPG,175387,2011,무사고,흰색,충남,599,2WD,2
기아,K5,가솔린,42727,2018,무사고,흰색,경기,1750,2WD,1
기아,K5,하이브리드,92248,2013,무사고,흰색,경기,990,2WD,1
기아,K5,하이브리드,86108,2014,무사고,흰색,서울,1130,2WD,2
기아,K5,가솔린,121648,2012,무사고,흰색,전북,799,2WD,2
