,brand,name,info,type,km,year,accident,color,location,price,wd
1371,벤츠,E-클래스,E220d 익스클루시브,디젤,71236,2017,무사고,검정색,충북,3980,2WD
1375,벤츠,GLK-클래스,GLK350,가솔린,146539,2011,무사고,검정색,경기,1870,2WD
1383,벤츠,C-클래스,GLC300 4MATIC 프리미엄,가솔린,85830,2020,무사고,검정색,경기,5490,4WD
1385,벤츠,E-클래스,GLE350 d 4MATIC 쿠페,디젤,68474,2017,무사고,검정색,부산,6150,4WD
1388,벤츠,S-클래스,S400L d 4MATIC,디젤,30117,2018,무사고,검정색,대구,10590,4WD
1390,벤츠,S-클래스,S350L,가솔린,108073,2019,무사고,검정색,광주,8090,2WD
1395,벤츠,E-클래스,E300 아방가르드,가솔린,78617,2017,무사고,검정색,부산,3950,2WD
1396,벤츠,GLA-클래스,GLA220 프리미엄,가솔린,51372,2019,무사고,검정색,경기,3430,2WD
1400,벤츠,C-클래스,GLC300 4MATIC AMG Line,가솔린,21556,2019,무사고,검정색,대구,5880,4WD
1402,벤츠,M-클래스,ML300 CDI 4MATIC 그랜드 에디션,디젤,118627,2011,무사고,검정색,경기,1750,4WD
1403,벤츠,CL-클래스,CL500,가솔린,172354,2007,무사고,검정색,경기,2499,2WD
1410,벤츠,S-클래스,마이바흐 S500,가솔린,116607,2015,무사고,검정색,경기,7799,2WD
1412,벤츠,S-클래스,S350 d 4MATIC,디젤,85639,2016,무사고,검정색,서울,6000,4WD
1415,벤츠,E-클래스,E220d 아방가르드,디젤,78148,2018,무사고,검정색,인천,4020,2WD
1416,벤츠,S-클래스,S350L,가솔린,223146,2008,무사고,검정색,경기,1150,2WD
1417,벤츠,S-클래스,S560L 4MATIC,가솔린,6485,2020,무사고,검정색,대구,15800,4WD
1421,벤츠,S-클래스,S500L,가솔린,169770,2015,무사고,검정색,서울,4700,2WD
1424,벤츠,E-클래스,E220d 쿠페,디젤,71825,2017,무사고,검정색,서울,4750,2WD
1430,벤츠,G-클래스,G63 AMG,가솔린,49966,2016,무사고,검정색,부산,11790,2WD
1432,벤츠,S-클래스,S560L 4MATIC,가솔린,74019,2019,무사고,검정색,서울,11300,4WD
1433,벤츠,E-클래스,E220d 아방가르드,디젤,57697,2019,무사고,검정색,서울,4300,2WD
1436,벤츠,S-클래스,S500L,가솔린,64385,2019,무사고,검정색,서울,11000,2WD
