,brand,name,type,km,year,accident,color,location,price,wd,trim
160,르노삼성,M6,가솔린,66530,2019,무사고,검정색,경기,1650,2WD,3.0
161,르노삼성,M5,가솔린,129736,2009,무사고,검정색,경기,250,2WD,2.0
162,르노삼성,M6,가솔린,20163,2019,무사고,검정색,경기,1520,2WD,1.0
164,르노삼성,M5,가솔린,132317,2011,무사고,검정색,경기,430,2WD,2.0
165,르노삼성,M6,LPG,89110,2016,무사고,검정색,경기,1060,2WD,1.0
166,르노삼성,M3,가솔린,119956,2013,무사고,검정색,경기,410,2WD,2.0
167,르노삼성,M5,가솔린,198956,2013,무사고,검정색,경기,550,2WD,1.0
168,르노삼성,SM7,가솔린,63482,2015,무사고,검정색,전북,1299,2WD,2.0
169,르노삼성,M6,가솔린,14033,2019,무사고,검정색,대전,1890,2WD,3.0
170,르노삼성,M6,LPG,46749,2017,무사고,검정색,경기,1900,2WD,3.0
171,르노삼성,M6,LPG,37124,2016,무사고,검정색,대전,1690,2WD,3.0
172,르노삼성,M6,디젤,81811,2017,무사고,검정색,인천,1690,2WD,3.0
173,르노삼성,SM7,가솔린,143415,2008,무사고,검정색,인천,290,2WD,2.0
175,르노삼성,M6,가솔린,49685,2016,무사고,검정색,충남,1620,2WD,3.0
176,르노삼성,M6,가솔린,134333,2016,무사고,검정색,울산,1150,2WD,2.0
177,르노삼성,M3,디젤,149274,2016,무사고,검정색,충남,849,2WD,3.0
179,르노삼성,M6,LPG,97110,2016,무사고,검정색,경기,1110,2WD,1.0
181,르노삼성,SM7,가솔린,180488,2010,무사고,검정색,대구,295,2WD,2.0
182,르노삼성,SM7,가솔린,180488,2010,무사고,검정색,대구,295,2WD,2.0
183,르노삼성,M6,가솔린,16237,2020,무사고,검정색,서울,2290,2WD,3.0
184,르노삼성,M6,가솔린,45263,2019,무사고,검정색,경기,1730,2WD,1.0
185,르노삼성,M5,가솔린,46618,2017,무사고,검정색,경기,1130,2WD,1.0
186,르노삼성,M6,LPG,44326,2017,무사고,검정색,광주,1380,2WD,1.0
187,르노삼성,M5,LPG,84873,2011,무사고,검정색,경기,530,2WD,2.0
188,르노삼성,M6,가솔린,83619,2016,무사고,검정색,부산,1459,2WD,3.0
189,르노삼성,SM7,가솔린,92319,2009,무사고,검정색,경기,349,2WD,2.0
190,르노삼성,M6,가솔린,36944,2018,무사고,검정색,경기,2030,2WD,3.0
191,르노삼성,M6,가솔린,52542,2019,무사고,검정색,경기,1499,2WD,2.0
192,르노삼성,M5,LPG,126184,2013,무사고,검정색,충남,648,2WD,3.0
193,르노삼성,M5,LPG,68707,2013,무사고,검정색,경기,880,2WD,2.0
194,르노삼성,SM7,가솔린,222294,2010,무사고,검정색,경기,270,2WD,4.0
195,르노삼성,M3,디젤,99116,2015,무사고,검정색,경기,870,2WD,2.0
196,르노삼성,M5,LPG,125069,2014,무사고,검정색,경기,650,2WD,2.0
197,르노삼성,M3,가솔린,36037,2017,무사고,검정색,충남,1030,2WD,2.0
198,르노삼성,M6,디젤,55298,2017,무사고,검정색,경기,1830,4WD,2.0
199,르노삼성,SM7,가솔린,192114,2008,무사고,검정색,경기,250,2WD,2.0
200,르노삼성,M6,가솔린,84398,2017,무사고,검정색,대구,1299,2WD,1.0
201,르노삼성,M6,가솔린,51540,2017,무사고,검정색,경기,1670,2WD,3.0
202,르노삼성,M6,디젤,47133,2017,무사고,검정색,대구,1750,2WD,2.0
204,르노삼성,SM7,가솔린,120262,2009,무사고,검정색,대구,379,2WD,2.0
206,르노삼성,M5,가솔린,172930,2010,무사고,검정색,부산,265,2WD,1.0
207,르노삼성,M6,가솔린,204389,2016,무사고,검정색,경기,940,2WD,3.0
208,르노삼성,M6,LPG,22694,2020,무사고,검정색,경기,2650,2WD,3.0
209,르노삼성,M6,가솔린,52397,2017,무사고,검정색,서울,1250,2WD,1.0
211,르노삼성,M5,가솔린,46180,2017,무사고,검정색,부산,1160,2WD,1.0
212,르노삼성,M5,가솔린,91764,2016,무사고,검정색,부산,980,2WD,3.0
213,르노삼성,M3,가솔린,41865,2020,무사고,검정색,부산,2150,2WD,3.0
214,르노삼성,SM7,가솔린,62691,2016,무사고,검정색,충남,1259,2WD,2.0
215,르노삼성,SM7,가솔린,123045,2012,무사고,검정색,경기,730,2WD,3.0
216,르노삼성,M6,가솔린,19652,2017,무사고,검정색,충남,1600,2WD,2.0
217,르노삼성,M3,디젤,63016,2018,무사고,검정색,충남,1370,2WD,2.0
218,르노삼성,M6,가솔린,65567,2016,무사고,검정색,부산,1490,2WD,3.0
219,르노삼성,M6,가솔린,46715,2019,무사고,검정색,서울,1450,2WD,1.0
222,르노삼성,SM7,가솔린,97250,2011,무사고,검정색,부산,510,2WD,1.0
223,르노삼성,M6,디젤,87219,2018,무사고,검정색,경기,1549,2WD,1.0
224,르노삼성,M6,가솔린,27453,2017,무사고,검정색,경기,1380,2WD,1.0
225,르노삼성,M3,디젤,71483,2015,무사고,검정색,서울,980,2WD,2.0
226,르노삼성,M6,LPG,66749,2017,무사고,검정색,경기,1600,2WD,3.0
227,르노삼성,M6,디젤,50983,2017,무사고,검정색,울산,2090,4WD,3.0
228,르노삼성,M3,디젤,81332,2017,무사고,검정색,부산,750,2WD,1.0
229,르노삼성,M3,디젤,81332,2017,무사고,검정색,부산,750,2WD,1.0
230,르노삼성,M6,가솔린,48349,2019,무사고,검정색,경기,2050,2WD,3.0
231,르노삼성,M6,LPG,10619,2020,무사고,검정색,부산,2790,2WD,3.0
232,르노삼성,M6,LPG,13644,2020,무사고,검정색,부산,2760,2WD,3.0
233,르노삼성,M5,LPG,165058,2008,무사고,검정색,경기,280,2WD,2.0
234,르노삼성,M6,LPG,20855,2019,무사고,검정색,경기,1680,2WD,2.0
235,르노삼성,M6,가솔린,68562,2017,무사고,검정색,서울,1580,2WD,3.0
236,르노삼성,M3,가솔린,24664,2016,무사고,검정색,경기,980,2WD,2.0
237,르노삼성,M6,가솔린,143902,2016,무사고,검정색,서울,1100,2WD,3.0
238,르노삼성,M6,가솔린,37777,2019,무사고,검정색,서울,2290,2WD,3.0
239,르노삼성,M3,가솔린,13095,2020,무사고,검정색,부산,2260,2WD,3.0
240,르노삼성,M6,LPG,53957,2020,무사고,검정색,서울,2530,2WD,3.0
241,르노삼성,SM7,가솔린,41794,2015,무사고,검정색,경기,1590,2WD,3.0
242,르노삼성,M5,가솔린,165029,2009,무사고,검정색,부산,250,2WD,1.0
243,르노삼성,M3,가솔린,23509,2020,무사고,검정색,서울,2169,2WD,3.0
244,르노삼성,M6,가솔린,19590,2021,무사고,검정색,서울,2390,2WD,2.0
245,르노삼성,M6,가솔린,66524,2016,무사고,검정색,경기,1770,2WD,3.0
246,르노삼성,M6,LPG,11477,2020,무사고,검정색,경기,2430,2WD,2.0
247,르노삼성,M6,가솔린,59235,2017,무사고,검정색,경기,1610,2WD,3.0
248,르노삼성,M5,가솔린,131544,2011,무사고,검정색,경기,310,2WD,1.0
249,르노삼성,M3,가솔린,13197,2020,무사고,검정색,부산,1630,2WD,1.0
250,르노삼성,SM7,가솔린,123806,2016,무사고,검정색,부산,1090,2WD,3.0
251,르노삼성,M6,가솔린,82221,2016,무사고,검정색,부산,1330,2WD,2.0
252,르노삼성,M6,가솔린,33337,2017,무사고,검정색,부산,1630,2WD,3.0
253,르노삼성,M6,가솔린,42011,2016,무사고,검정색,경기,1429,2WD,3.0
255,르노삼성,M6,가솔린,22219,2019,무사고,검정색,서울,1849,2WD,3.0
257,르노삼성,M3,가솔린,67891,2017,무사고,검정색,대구,898,2WD,2.0
258,르노삼성,M6,가솔린,5551,2021,무사고,검정색,경기,2430,2WD,2.0
259,르노삼성,M5,가솔린,185052,2006,무사고,검정색,대전,180,2WD,2.0
260,르노삼성,M6,LPG,209032,2017,무사고,검정색,경기,750,2WD,1.0
261,르노삼성,M3,가솔린,90003,2010,무사고,검정색,충남,350,2WD,1.0
263,르노삼성,M6,디젤,25807,2016,무사고,검정색,서울,1490,2WD,1.0
265,르노삼성,M6,LPG,58890,2019,무사고,검정색,대전,1290,2WD,1.0
266,르노삼성,M5,가솔린,76652,2011,무사고,검정색,경기,460,2WD,2.0
267,르노삼성,M6,LPG,6174,2021,무사고,검정색,경기,2560,2WD,3.0
268,르노삼성,M6,가솔린,40258,2019,무사고,검정색,충남,2350,2WD,3.0
269,르노삼성,M6,디젤,24531,2017,무사고,검정색,경기,1870,2WD,2.0
270,르노삼성,M6,가솔린,40258,2019,무사고,검정색,충남,2350,2WD,3.0
271,르노삼성,M5,가솔린,140492,2010,무사고,검정색,경기,450,2WD,2.0
273,르노삼성,M3,가솔린,155362,2011,무사고,검정색,경기,230,2WD,1.0
275,르노삼성,M5,가솔린,93203,2009,무사고,검정색,경기,320,2WD,1.0
276,르노삼성,M5,가솔린,107924,2010,무사고,검정색,경기,390,2WD,1.0
277,르노삼성,M6,가솔린,22373,2019,무사고,검정색,전북,1900,2WD,2.0
278,르노삼성,M6,LPG,19385,2020,무사고,검정색,대구,2699,2WD,3.0
280,르노삼성,M5,가솔린,237291,2010,무사고,검정색,서울,270,2WD,1.0
283,르노삼성,M5,가솔린,114607,2010,무사고,검정색,전북,460,2WD,1.0
284,르노삼성,M6,가솔린,24575,2016,무사고,검정색,경기,1500,2WD,2.0
285,르노삼성,M3,디젤,77203,2015,무사고,검정색,경기,820,2WD,3.0
286,르노삼성,M6,가솔린,24575,2016,무사고,검정색,경기,1500,2WD,2.0
287,르노삼성,SM7,가솔린,191901,2008,무사고,검정색,경기,222,2WD,2.0
288,르노삼성,M5,가솔린,38634,2017,무사고,검정색,경기,1170,2WD,1.0
289,르노삼성,SM7,가솔린,44959,2016,무사고,검정색,서울,1730,2WD,3.0
291,르노삼성,SM7,가솔린,112562,2011,무사고,검정색,경기,520,2WD,3.0
