,brand,name,type,km,year,accident,color,location,price,wd,trim
242,현대,쏘나타,LPG,97112,2019,무사고,검정색,광주,1390,2WD,1.0
243,현대,그랜저,가솔린,63172,2017,무사고,검정색,울산,2180,2WD,2.0
245,현대,그랜저,디젤,48786,2018,무사고,검정색,경기,2350,2WD,1.0
247,현대,그랜저,가솔린,9692,2018,무사고,검정색,서울,2900,2WD,3.0
248,현대,그랜저,가솔린,81690,2018,무사고,검정색,경기,1950,2WD,1.0
253,현대,쏘나타,LPG,191795,2014,무사고,검정색,부산,650,2WD,1.0
255,현대,그랜저,가솔린,101262,2017,무사고,검정색,서울,1730,2WD,2.0
257,현대,그랜저,하이브리드,42154,2017,무사고,검정색,울산,1960,2WD,2.0
259,현대,그랜저,가솔린,99688,2011,무사고,검정색,인천,880,2WD,4.0
260,현대,쏘나타,LPG,180136,2010,무사고,검정색,부산,430,2WD,1.0
261,현대,쏘나타,디젤,34741,2019,무사고,검정색,경기,2050,2WD,1.0
262,현대,아반떼,가솔린,57984,2017,무사고,검정색,부산,1450,2WD,1.0
267,현대,쏘나타,디젤,80149,2016,무사고,검정색,경기,1450,2WD,1.0
269,현대,그랜저,LPG,234356,2016,무사고,검정색,경기,860,2WD,1.0
271,현대,그랜저,LPG,156799,2016,무사고,검정색,대구,1230,2WD,1.0
275,현대,그랜저,가솔린,93437,2017,무사고,검정색,대구,1880,2WD,3.0
276,현대,그랜저,가솔린,191638,2009,무사고,검정색,전북,260,2WD,2.0
277,현대,그랜저,LPG,233092,2016,무사고,검정색,대구,929,2WD,1.0
278,현대,그랜저,가솔린,53891,2018,무사고,검정색,경기,2320,2WD,3.0
279,현대,그랜저,가솔린,125642,2013,무사고,검정색,서울,900,2WD,1.0
280,현대,그랜저,가솔린,184676,2006,무사고,검정색,전북,199,2WD,2.0
281,현대,그랜저,가솔린,156540,2010,무사고,검정색,충남,459,2WD,2.0
282,현대,제네시스,가솔린,171283,2015,무사고,검정색,경기,1740,AWD,2.0
283,현대,그랜저,가솔린,69141,2017,무사고,검정색,전북,2080,2WD,3.0
287,현대,그랜저,가솔린,122320,2013,무사고,검정색,경기,1220,2WD,3.0
288,현대,제네시스,가솔린,148710,2016,무사고,검정색,광주,2070,AWD,2.0
289,현대,제네시스,가솔린,142892,2015,무사고,검정색,충북,1900,AWD,3.0
290,현대,그랜저,가솔린,208755,2014,무사고,검정색,인천,830,2WD,3.0
292,현대,크루즈,디젤,111991,2015,무사고,검정색,서울,1590,2WD,3.0
294,현대,그랜저,가솔린,216339,2014,무사고,검정색,인천,740,2WD,1.0
295,현대,그랜저,LPG,48725,2018,무사고,검정색,경기,2500,2WD,3.0
296,현대,그랜저,가솔린,82276,2019,무사고,검정색,광주,1930,2WD,1.0
297,현대,쏘나타,가솔린,133292,2016,무사고,검정색,서울,1190,2WD,2.0
298,현대,그랜저,하이브리드,168334,2015,무사고,검정색,경기,1200,2WD,2.0
299,현대,쏘나타,LPG,102287,2009,무사고,검정색,경기,270,2WD,3.0
301,현대,쏘나타,가솔린,90116,2018,무사고,검정색,경기,1420,2WD,1.0
302,현대,제네시스,가솔린,94270,2012,무사고,검정색,경기,1310,2WD,2.0
303,현대,제네시스,가솔린,111167,2015,무사고,검정색,충남,2250,AWD,2.0
304,현대,쏘나타,LPG,59990,2019,무사고,검정색,광주,1530,2WD,1.0
305,현대,그랜저,가솔린,103462,2019,무사고,검정색,대구,2050,2WD,2.0
306,현대,쏘나타,가솔린,56282,2017,무사고,검정색,충남,1569,2WD,1.0
307,현대,그랜저,가솔린,159223,2015,무사고,검정색,대구,1590,2WD,3.0
308,현대,제네시스,가솔린,54599,2015,무사고,검정색,경기,2450,AWD,2.0
310,현대,그랜저,LPG,58817,2017,무사고,검정색,광주,2180,2WD,1.0
311,현대,그랜저,LPG,99760,2018,무사고,검정색,경기,1899,2WD,1.0
312,현대,그랜저,하이브리드,57453,2018,무사고,검정색,전북,2880,2WD,3.0
313,현대,그랜저,가솔린,128346,2010,무사고,검정색,충남,470,2WD,2.0
315,현대,그랜저,가솔린,71115,2017,무사고,검정색,경기,1599,2WD,1.0
317,현대,그랜저,가솔린,89238,2019,무사고,검정색,경기,1970,2WD,1.0
320,현대,그랜저,가솔린,150313,2018,무사고,검정색,인천,1630,2WD,2.0
322,현대,쏘나타,가솔린,115526,2011,무사고,검정색,경기,550,2WD,4.0
323,현대,그랜저,가솔린,128558,2015,무사고,검정색,경기,1050,2WD,1.0
325,현대,그랜저,가솔린,134023,2009,무사고,검정색,부산,420,2WD,3.0
327,현대,그랜저,LPG,109807,2018,무사고,검정색,충남,1779,2WD,1.0
329,현대,그랜저,가솔린,185664,2012,무사고,검정색,경기,730,2WD,2.0
333,현대,쏘나타,LPG,98395,2018,무사고,검정색,충남,1249,2WD,1.0
336,현대,제네시스,가솔린,58446,2014,무사고,검정색,서울,2190,2WD,2.0
337,현대,제네시스,가솔린,54792,2016,무사고,검정색,경기,2750,AWD,2.0
338,현대,제네시스,가솔린,72276,2015,무사고,검정색,울산,2070,AWD,1.0
340,현대,그랜저,LPG,61216,2017,무사고,검정색,광주,2099,2WD,1.0
343,현대,제네시스,가솔린,197370,2011,무사고,검정색,경기,630,2WD,2.0
344,현대,그랜저,하이브리드,83597,2016,무사고,검정색,경기,2330,2WD,2.0
345,현대,그랜저,가솔린,105186,2009,무사고,검정색,대구,525,2WD,3.0
346,현대,그랜저,가솔린,10373,2018,무사고,검정색,부산,2490,2WD,2.0
347,현대,그랜저,가솔린,14253,2015,무사고,검정색,서울,1690,2WD,1.0
349,현대,그랜저,가솔린,18212,2019,무사고,검정색,서울,2630,2WD,2.0
350,현대,그랜저,가솔린,42154,2018,무사고,검정색,경기,2080,2WD,1.0
353,현대,쏘나타,가솔린,80643,2018,무사고,검정색,서울,1699,2WD,1.0
354,현대,제네시스,가솔린,65977,2016,무사고,검정색,대구,2290,AWD,2.0
356,현대,그랜저,LPG,98327,2017,무사고,검정색,대전,1699,2WD,1.0
357,현대,그랜저,LPG,128765,2011,무사고,검정색,대전,1250,2WD,3.0
358,현대,그랜저,가솔린,16964,2019,무사고,검정색,대전,2950,2WD,3.0
363,현대,그랜저,가솔린,146112,2013,무사고,검정색,충남,940,2WD,1.0
365,현대,그랜저,가솔린,193350,2009,무사고,검정색,광주,320,2WD,1.0
366,현대,그랜저,가솔린,168162,2011,무사고,검정색,경기,650,2WD,2.0
368,현대,그랜저,가솔린,75850,2012,무사고,검정색,대구,1140,2WD,4.0
370,현대,그랜저,가솔린,72301,2018,무사고,검정색,대구,2490,2WD,3.0
373,현대,그랜저,가솔린,105019,2018,무사고,검정색,경기,2290,2WD,3.0
375,현대,그랜저,LPG,175745,2011,무사고,검정색,대전,820,2WD,4.0
377,현대,제네시스,가솔린,90814,2015,무사고,검정색,경기,2250,AWD,2.0
378,현대,제네시스,가솔린,113288,2016,무사고,검정색,경기,2090,AWD,1.0
381,현대,쏘나타,가솔린,104791,2018,무사고,검정색,광주,1400,2WD,1.0
383,현대,그랜저,LPG,43296,2018,무사고,검정색,서울,2300,2WD,1.0
384,현대,제네시스,가솔린,234341,2011,무사고,검정색,경기,570,2WD,2.0
385,현대,그랜저,가솔린,83640,2014,무사고,검정색,충북,1350,2WD,3.0
388,현대,그랜저,LPG,66229,2018,무사고,검정색,대구,2089,2WD,1.0
390,현대,그랜저,가솔린,172390,2009,무사고,검정색,경기,290,2WD,2.0
391,현대,쏘나타,가솔린,81059,2013,무사고,검정색,서울,830,2WD,1.0
393,현대,그랜저,가솔린,61316,2018,무사고,검정색,경기,2000,2WD,2.0
396,현대,그랜저,LPG,178862,2018,무사고,검정색,광주,1470,2WD,1.0
398,현대,제네시스,가솔린,40018,2016,무사고,검정색,서울,2870,AWD,2.0
399,현대,제네시스,가솔린,56967,2014,무사고,검정색,서울,2470,2WD,3.0
402,현대,제네시스,가솔린,56254,2016,무사고,검정색,부산,2400,AWD,1.0
404,현대,아반떼,가솔린,94823,2016,무사고,검정색,경기,1090,2WD,1.0
405,현대,그랜저,LPG,226319,2016,무사고,검정색,대구,849,2WD,1.0
407,현대,그랜저,가솔린,21028,2019,무사고,검정색,광주,2850,2WD,3.0
408,현대,그랜저,가솔린,148720,2017,무사고,검정색,경기,1720,2WD,3.0
411,현대,그랜저,가솔린,73156,2018,무사고,검정색,인천,2240,2WD,3.0
412,현대,쏘나타,가솔린,51518,2017,무사고,검정색,광주,1450,2WD,1.0
413,현대,쏘나타,LPG,26816,2018,무사고,검정색,경기,1790,2WD,1.0
415,현대,그랜저,가솔린,49377,2019,무사고,검정색,대구,2399,2WD,2.0
416,현대,그랜저,하이브리드,156123,2018,무사고,검정색,대구,2029,2WD,3.0
417,현대,그랜저,가솔린,237340,2012,무사고,검정색,대전,550,2WD,2.0
418,현대,그랜저,LPG,62409,2019,무사고,검정색,경기,2399,2WD,3.0
421,현대,그랜저,가솔린,63488,2018,무사고,검정색,광주,2050,2WD,1.0
422,현대,쏘나타,가솔린,82904,2016,무사고,검정색,충남,1519,2WD,2.0
