,brand,name,info,type,km,year,color,location,accident,price
161,현대,i30 (PD),1.6 터보스포츠,가솔린,54424,2017,청색,경기/인천,무사고,1520
162,쉐보레(GM대우),더 넥스트 스파크,LTZ,가솔린,8538,2017,진주색,서울,단순교환,920
163,현대,싼타페 TM,디젤 2.0 2WD프레스티지,디젤,50572,2019,쥐색,경기/인천,무사고,3110
164,현대,아반떼 MD,M16 GDI 모던,가솔린,85094,2013,흰색,경남,무사고,830
165,기아,더 뉴 쏘렌토,디젤 2.0 2WD프레스티지,디젤,39710,2018,검정색,전남,단순교환,2320
166,르노삼성,뉴 QM6,가솔린 2.0프리미에르,가솔린,9,2021,진주색,서울,무사고,3340
167,현대,더 뉴 벨로스터,1.6 터보 디 스펙,가솔린,93777,2016,흰색,전남,단순교환,1150
168,기아,스팅어,2.0 터보 AWD플래티넘,가솔린,35842,2018,쥐색,경기/인천,무사고,3080
169,기아,올 뉴 K7,3.0 LPI 노블레스(장애인용),LPG,79315,2017,검정색,경기/인천,무사고,2270
170,쉐보레(GM대우),카마로,3.6,가솔린,31247,2014,검정색,충남,단순사고(접촉),2150
171,기아,K5 3세대,가솔린 터보 1.6시그니처,가솔린,16516,2020,흰색,충남,무사고,2890
172,기아,더 뉴 스포티지 R,가솔린 2WD 터보 GDI 트렌디,가솔린,55990,2014,흰색,경북,무사고,1670
173,현대,그랜저 IG,3.0 LPi 익스클루시브 (렌터카용),LPG,82338,2018,검정색,서울,무사고,2450
174,현대,아반떼 AD,1.6 GDI 스마트스페셜,가솔린,31506,2017,쥐색,경기/인천,단순교환,1490
175,기아,올 뉴 K7,3.0 LPI 프레스티지(장애인용),LPG,92581,2017,흰색,전남,단순교환,2210
176,현대,LF 쏘나타,2.0 프리미엄세부등급 없음,가솔린,113960,2015,흰색,경남,사고,1260
177,현대,LF 쏘나타,2.0 스마트스페셜,가솔린,32010,2017,은회색,전남,단순교환,1580
178,현대,그랜저 IG,3.0 익스클루시브세부등급 없음,가솔린,76721,2017,검정색,경기/인천,단순교환,2180
179,쉐보레(GM대우),더 넥스트 스파크,LT플러스,가솔린,33237,2017,은색,서울,단순교환,730
180,기아,더 뉴 레이,트렌디,가솔린,15404,2019,하늘색,경남,무사고,1140
181,기아,더 뉴 카니발,9인승 럭셔리,디젤,58986,2019,흰색,경남,단순교환,2100
182,기아,모하비,2WD KV300세부등급 없음,디젤,52525,2015,흰색,경북,무사고,2290
183,현대,그랜저 IG,3.3 셀러브리티,가솔린,45495,2019,검정색,충남,무사고,2760
184,현대,제네시스 DH,G330 프리미엄,가솔린,73002,2016,검정색,경기/인천,무사고,2520
185,BMW,5시리즈 (F10),528i xDrive M 에어로 다이나믹 프로,가솔린,67958,2016,쥐색,서울,단순사고(접촉),3270
186,쉐보레(GM대우),올 뉴 말리부,2.0 터보 LT프리미엄,가솔린,31429,2017,검정색,경기/인천,단순교환,1730
187,현대,에쿠스(신형),VS380모던,가솔린,104149,2015,검정색,경북,무사고,2200
188,현대,더 뉴 아반떼 AD,1.6스마트,가솔린,16202,2020,검정색,전남,무사고,1830
189,기아,스팅어,3.3 터보 AWDGT,가솔린,28523,2020,빨간색,전북,무사고,3670
190,아우디,뉴 A4 (B8),35 TDI 콰트로B8,디젤,121964,2014,흰색,서울,무사고,1510
191,마쯔다,MX-5 MIATA,MIATA,가솔린,24323,2019,빨간색,경기/인천,무사고,3790
192,르노삼성,SM6,2.0 LPe PE (렌터카),LPG,40615,2020,쥐색,전북,무사고,1380
193,제네시스,G70,2.0T엘리트,가솔린,30367,2019,흰색,경기/인천,무사고,3390
194,도요타,뉴 캠리,2.5 XLE,가솔린,101290,2012,은색,경기/인천,단순사고(접촉),790
195,현대,올 뉴 투싼,디젤 2.0 2WD모던,디젤,59383,2018,쥐색,충남,무사고,1980
196,폭스바겐,더 비틀,2.0 TDI 프리미엄3세대,디젤,79968,2013,은색,서울,단순교환,1490
197,르노삼성,뉴 QM6,LPG 2.0 (일반인 판매용)RE 시그니처,LPG,293,2021,흰색,경북,무사고,2920
198,기아,K5 2세대,2.0 SX시그니처,가솔린,80006,2017,은색,경기/인천,무사고,1780
199,기아,더 뉴 쏘렌토,가솔린 2.0 터보 2WD노블레스,가솔린,15939,2018,쥐색,경기/인천,무사고,2620
200,기아,올 뉴 카니발,7인승 하이리무진프레지던트,디젤,50831,2018,흰색,경북,무사고,3820
201,현대,코나,1.6 터보 2WD모던 아트,가솔린,24721,2018,검정색,경기/인천,무사고,1990
202,쉐보레(GM대우),더 뉴 스파크,프리미어,가솔린,35464,2020,은색,경남,무사고,980
203,쉐보레(GM대우),올 뉴 말리부,2.0 터보 LT프리미엄,가솔린,83088,2017,흰색,경기/인천,무사고,1560
204,현대,그랜저 IG,2.4 프리미엄스페셜,가솔린,91020,2019,쥐색,경기/인천,무사고,2170
205,기아,더 뉴 레이,밴고급형,가솔린,41253,2018,진주색,충남,단순사고(접촉),950
206,제네시스,G80,3.3 GDI럭셔리,가솔린,57979,2017,검정색,경남,무사고,2950
207,기아,K7 프리미어,가솔린 2.5노블레스,가솔린,16914,2020,검정색,경기/인천,무사고,3150
208,기아,더 뉴 레이,프레스티지,가솔린,32611,2018,진주색,경기/인천,무사고,1420
209,현대,LF 쏘나타,2.0 터보 스마트,가솔린,78601,2015,청색,경북,무사고,1520
210,르노삼성,SM6,2.0 GDe RE,가솔린,72281,2016,쥐색,경기/인천,무사고,1470
211,현대,쏘나타 뉴 라이즈,2.0 스타일,가솔린,73285,2018,흰색,경기/인천,단순교환,1320
212,현대,쏘나타 DN8,1.6 터보인스퍼레이션,가솔린,2178,2022,쥐색,서울,무사고,3320
213,쌍용,코란도 C,클러비 2WD파크,디젤,121278,2012,흰색,서울,단순교환,640
214,BMW,X1 (F48),xDrive 18d,디젤,75857,2017,은색,충남,무사고,2530
215,현대,더 뉴 아반떼 AD,1.6스마트,가솔린,14628,2019,흰색,서울,무사고,1700
216,BMW,3시리즈 (G20),디젤 2WD320d M 스포츠,디젤,26266,2019,흰색,경기/인천,무사고,4340
217,현대,에쿠스(신형),VS380프레스티지,가솔린,90217,2013,검정색,경북,무사고,2530
218,현대,코나,1.6 터보 2WD프리미엄,가솔린,6271,2020,흰색,경기/인천,무사고,2370
219,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,가솔린,102361,2013,흰색,경기/인천,무사고,1170
220,쌍용,티볼리,LX 2WD최고급형,가솔린,64655,2015,빨간색,서울,단순교환,1320
221,르노삼성,캡처,가솔린 1.3인텐스,가솔린,19720,2020,빨간색,경기/인천,무사고,1850
222,기아,올 뉴 모닝 (JA),럭셔리,가솔린,24978,2018,흰색,경남,무사고,1050
223,기아,니로,노블레스,가솔린+전기,52208,2017,청색,경기/인천,무사고,2160
224,기아,쏘렌토 4세대 하이브리드,가솔린 터보 1.6 4WD시그니처,가솔린+전기,14040,2021,쥐색,경기/인천,무사고,4870
225,현대,그랜저 HG,HG240 모던,가솔린,70452,2016,흰색,경기/인천,무사고,1480
226,쉐보레(GM대우),올 뉴 말리부,2.0 터보 LT프리미엄,가솔린,48698,2017,흰색,전남,단순교환,1460
227,현대,포터2 CRDi 카고,초장축 슈퍼캡스마트,디젤,70802,2018,흰색,전북,무사고,1370
228,현대,코나,디젤 1.6 2WD모던 팝,디젤,45469,2019,흰색,경기/인천,단순사고(접촉),1820
229,제네시스,G80,3.3 T-GDI AWD스포츠,가솔린,65591,2018,검정색,충남,무사고,4430
230,기아,레이,럭셔리,가솔린,35439,2012,진주색,경남,무사고,870
231,르노삼성,뉴QM3,RE세부등급 없음,디젤,86802,2018,진주색,경북,무사고,1390
232,벤츠,C-클래스 W205,C200 아방가르드,가솔린,58071,2017,은색,경기/인천,무사고,2970
233,현대,쏘나타 뉴 라이즈,LPI 스타일,LPG,99803,2018,흰색,서울,무사고,1250
234,르노삼성,SM6,1.5 dCi LE,디젤,113323,2016,쥐색,경기/인천,무사고,1290
235,쌍용,티볼리,LX 2WD최고급형,가솔린,12374,2016,진주색,서울,단순교환,1480
236,지프,레니게이드,1.6 디젤 리미티드,디젤,24609,2020,검정색,서울,무사고,2870
237,제네시스,G80,3.3 GDI럭셔리,가솔린,100871,2017,검정색,경기/인천,단순교환,2290
238,아우디,뉴 A3 (8V),40 TFSI8V,가솔린,32174,2018,검정색,서울,무사고,2200
239,현대,싼타페 TM,가솔린 2.0T 2WD인스퍼레이션,가솔린,31412,2019,흰색,경기/인천,단순교환,3290
240,현대,그랜저 IG,2.4 프리미엄스페셜,가솔린,58014,2018,검정색,전남,단순교환,2420
241,기아,더 뉴 레이,럭셔리,가솔린,15260,2019,진주색,경기/인천,무사고,1290
242,제네시스,EQ900,3.3 T-GDI AWD프리미엄 럭셔리,가솔린,95329,2017,검정색,경기/인천,무사고,3990
243,현대,맥스크루즈,디젤(e-VGT) 2.2 2WD 익스클루시브스페셜,디젤,97287,2016,흰색,경기/인천,무사고,1950
244,혼다,올뉴어코드,2.48세대,가솔린,140127,2012,은색,경기/인천,단순교환,710
245,현대,엑센트(신형),1.4 VVT 스타일,가솔린,6338,2017,검정색,경기/인천,단순사고(접촉),780
246,쉐보레(GM대우),올 뉴 말리부,1.5 터보 LTZ세부등급 없음,가솔린,35609,2018,흰색,서울,무사고,1950
247,쉐보레(GM대우),트랙스,1.6 디젤 퍼펙트 블랙,디젤,121922,2016,검정색,서울,단순교환,950
248,쉐보레(GM대우),말리부,2.0 LT 디럭스팩,가솔린,83411,2015,흰색,경기/인천,무사고,920
249,기아,더 뉴 레이,시그니처,가솔린,2681,2021,쥐색,경기/인천,무사고,1650
250,벤츠,C-클래스 W205,C63 AMG 쿠페,가솔린,48837,2018,검정색,서울,무사고,6600
251,쉐보레(GM대우),스파크,밴,가솔린,56543,2012,흰색,경기/인천,무사고,380
