,name,brand,color,fuel,accident,price,mile,model
7062,올 뉴 K7,기아,진주색,LPG,무사고,2290,91481,3.0 LPI 프레스티지
7063,5시리즈 (G30),BMW,쥐색,디젤,무사고,4200,29696,520d M 스포츠
7064,G80,제네시스,쥐색,가솔린,무사고,3190,44318,3.3 GDI AWD럭셔리
7065,G80,제네시스,검정색,가솔린,무사고,2990,98394,3.3 GDI프리미엄 럭셔리
7066,스파크,쉐보레(GM대우),흰색,가솔린,무사고,380,56543,밴
7067,i30 (PD),현대,흰색,가솔린,무사고,1590,18325,1.4 터보스타일
7068,SM6,르노삼성,진주색,가솔린,무사고,1300,74173,2.0 GDe SE
7069,팰리세이드,현대,흰색,가솔린,무사고,4490,16054,가솔린 3.8 2WD캘리그래피 (7인승)
7070,더 뉴 말리부,쉐보레(GM대우),청색,가솔린,무사고,2370,30910,2.0 터보 프리미어스페셜
7071,그랜저 HG,현대,은회색,가솔린,무사고,1220,95790,HG300 익스클루시브
7072,싼타페 더 프라임,현대,은색,디젤,무사고,1930,95634,디젤 2.0 4WD익스클루시브 스페셜
7073,아반떼 MD,현대,은색,가솔린,단순사고(접촉),720,103366,M16 GDI 스마트
7074,올 뉴 말리부,쉐보레(GM대우),쥐색,가솔린,무사고,1790,48942,1.5 터보 LTZ프리미엄 세이프티
7075,더 뉴 K7,기아,흰색,가솔린,무사고,1170,102361,2.4 GDI 프레스티지 스페셜
7076,G90,제네시스,쥐색,가솔린,무사고,6700,38393,가솔린 4WD3.8 럭셔리
7077,S90,볼보,흰색,가솔린,단순교환,4900,4361,T5 인스크립션
7078,SM5 노바,르노삼성,은색,가솔린,무사고,1350,33866,클래식
7079,더 넥스트 스파크,쉐보레(GM대우),흰색,가솔린,단순교환,820,13587,LT플러스
7080,올 뉴 카니발,기아,쥐색,디젤,단순교환,2120,110039,7인승 리무진프레지던트
7081,G70,제네시스,빨간색,가솔린,무사고,3970,32633,3.3T 스포츠프레스티지
7082,쏘나타 DN8,현대,쥐색,가솔린,무사고,2390,28230,2.0 가솔린프리미엄 패밀리
