,brand,name,year,info,km,location,price,type,color,websites
4840,기아,셀토스,19/10식(20년형),디젤 1.6 2WD,"53,572km",광주,"2,550",디젤,흰색,Ncar
4841,기아,로체 이노베이션,10/05식,LPI LX20,"165,792km",경기,290,LPG(일반인 구입),흰색,Ncar
4842,기아,더 뉴 K3,17/07식(18년형),트렌디,"32,480km",대구,"1,380",가솔린,흰색,Ncar
4843,현대,뉴 투싼 ix,14/03식,디젤(e-VGT) 2WD,"75,406km",인천,"1,190",디젤,흰색,Ncar
4844,쉐보레(GM대우),올란도,12/04식,LPG LS,"72,500km",경기,829,LPG(일반인 구입),흰색,Ncar
4845,현대,싼타페 DM,12/10식(13년형),디젤(e-VGT) 2.0 2WD 프리미엄,"134,172km",대전,"1,190",디젤,흰색,Ncar
4846,현대,그랜드 스타렉스,08/08식,5인승 밴,"207,986km",경기,540,디젤,흰색,Ncar
4847,제네시스,G80,18/01식,3.3 GDI,"47,416km",경기,"3,390",가솔린,흰색,Ncar
4848,현대,벨로스터 (JS),18/08식(19년형),2.0 N,"35,328km",대구,"2,530",가솔린,흰색,Ncar
4849,현대,그랜저 IG,18/07식(19년형),2.4 프리미엄,"47,308km",대구,"2,490",가솔린,흰색,Ncar
4850,르노삼성,SM6,16/12식,2.0 GDe RE,"80,451km",경기,"1,370",가솔린,흰색,Ncar
4851,쌍용,베리 뉴 티볼리,20/05식(21년형),가솔린 1.5 2WD,"10,581km",경기,"1,780",가솔린,흰색,Ncar
4852,쉐보레(GM대우),더 넥스트 스파크,17/12식(18년형),LT,"35,299km",경기,820,가솔린,흰색,Ncar
4853,현대,그랜드 스타렉스,17/06식(18년형),5인승 밴,"93,139km",전북,"1,550",디젤,흰색,Ncar
4854,현대,쏘나타 (DN8),19/06식(20년형),2.0,"33,310km",서울,"1,999",가솔린,흰색,Ncar
4855,기아,올 뉴 K7,17/05식,2.4 GDI 리미티드,"62,231km",충남,"2,199",가솔린,흰색,Ncar
4856,현대,그랜드 스타렉스,12/08식,12인승 왜건,"156,653km",울산,890,디젤,흰색,Ncar
4857,쉐보레(GM대우),캡티바,12/12식,2WD LT,"85,821km",충남,769,디젤,흰색,Ncar
4858,기아,올 뉴 K7,17/01식,2.2 디젤 리미티드,"54,418km",경기,"2,549",디젤,흰색,Ncar
4859,현대,그랜저 IG,17/07식(18년형),2.4 프리미엄,"67,088km",대구,"2,550",가솔린,흰색,Ncar
4860,기아,뉴쏘렌토,07/11식,7인승 디젤(VGT) 4WD TLX,"181,940km",대구,399,디젤,흰색,Ncar
4861,현대,벨로스터,12/09식(13년형),터보 GDi 익스트림,"99,532km",충남,699,가솔린,흰색,Ncar
4862,르노삼성,QM6,18/12식(19년형),디젤 2WD RE,"43,266km",충남,"1,999",디젤,흰색,Ncar
4863,기아,스포티지 4세대,18/06식,디젤 2.0 2WD 프레스티지,"89,327km",경기,"1,820",디젤,흰색,Ncar
4864,현대,i30 (PD),16/10식(17년형),1.4 터보,"78,257km",경기,"1,530",가솔린,흰색,Ncar
4865,쉐보레(GM대우),올란도,15/01식,2.0 디젤 LS,"168,018km",충남,699,디젤,흰색,Ncar
4866,현대,벨로스터,13/08식(14년형),터보 D 스펙,"92,431km",경기,880,가솔린,흰색,Ncar
4867,현대,쏘나타 (DN8),19/05식(20년형),2.0,"48,650km",대구,"2,620",가솔린,흰색,Ncar
4868,기아,레이,13/01식,프레스티지,"56,825km",부산,820,가솔린,흰색,Ncar
4869,현대,그랜저 TG,07/01식,Q270 럭셔리,"107,837km",경기,270,가솔린,흰색,Ncar
4870,기아,올 뉴 모닝,11/08식(12년형),럭셔리,"102,644km",대구,550,가솔린,흰색,Ncar
4871,기아,더 뉴 모하비,18/05식,디젤 3.0 4WD,"36,257km",광주,"3,620",디젤,흰색,Ncar
4872,현대,쏘나타 (DN8),19/10식(20년형),2.0,"27,401km",충남,"1,890",가솔린,흰색,Ncar
4873,현대,코나,18/01식,디젤 1.6 2WD,"46,245km",대구,"2,090",디젤,흰색,Ncar
4874,쉐보레(GM대우),더 뉴 스파크,18/09식(19년형),LT,"40,087km",전북,850,가솔린,흰색,Ncar
4875,현대,싼타페 TM,19/06식(20년형),디젤 2.0 4WD,"39,391km",경기,"2,780",디젤,흰색,Ncar
4876,기아,더 뉴 카니발,18/08식(19년형),9인승 럭셔리,"53,342km",경기,홈서비스 계약중,디젤,흰색,Ncar
4877,현대,YF 쏘나타,11/07식(12년형),Y20 탑,"117,635km",충남,680,가솔린,흰색,Ncar
4878,르노삼성,All New SM7,11/08식(12년형),RE,"115,014km",서울,650,가솔린,흰색,Ncar
4879,현대,아반떼 MD,11/11식(12년형),M16 GDI 럭셔리,"118,787km",경기,640,가솔린,흰색,Ncar
4880,현대,그랜저 HG,14/12식(15년형),LPG HG300 익스클루시브,"152,173km",광주,"1,490",LPG(일반인 구입),흰색,Ncar
4881,현대,그랜드 스타렉스,17/09식(18년형),3인승 밴,"64,324km",경기,"1,720",디젤,흰색,Ncar
4882,현대,그랜저 IG,19/08식,3.0 LPi 모던 베이직 (렌터카),"44,626km",전북,"2,230",LPG(일반인 구입),흰색,Ncar
4883,현대,아반떼 AD,18/05식,1.6 GDI 프리미엄,"53,281km",광주,"1,620",가솔린,흰색,Ncar
4884,쌍용,코란도 스포츠,13/01식,CX7 4WD,"94,035km",대구,"1,450",디젤,흰색,Ncar
4885,,,,,,,,,흰색,Ncar
4886,현대,싼타페 더 프라임,15/10식(16년형),디젤 2.2 2WD,"74,974km",대전,"2,150",디젤,흰색,Ncar
4887,현대,i30(신형),12/08식,1.6 GDI 익스트림,"192,487km",충남,679,가솔린,흰색,Ncar
4888,기아,레이,17/12식,프레스티지,"48,836km",서울,"1,090",가솔린,흰색,Ncar
4889,기아,더 뉴 스포티지 R,14/08식,디젤 2WD 트렌디,"123,139km",서울,980,디젤,흰색,Ncar
4890,기아,올 뉴 모닝 (JA),17/09식,밴,"56,481km",경기,570,가솔린,흰색,Ncar
4891,현대,그랜저 IG,17/01식,2.4 모던,"128,723km",서울,"1,590",가솔린,흰색,Ncar
4892,쌍용,뉴코란도 C,14/12식(15년형),2.0 어드벤처 60th 에디션 4WD,"130,000km",경기,690,디젤,흰색,Ncar
4893,기아,올 뉴 쏘렌토,17/01식,디젤 2.0 2WD,"83,434km",경북,"2,230",디젤,흰색,Ncar
4894,현대,더 뉴 제네시스 쿠페,12/02식,200 터보 S,"166,847km",경기,"1,180",가솔린,흰색,Ncar
4895,현대,YF 쏘나타,11/03식,Y20 프리미어,"161,059km",대구,520,가솔린,흰색,Ncar
4896,기아,더 뉴 K5,14/05식,프레스티지,"77,427km",서울,"1,390",가솔린,흰색,Ncar
